Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.351s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
166.00	1.99	1.99	0.31	0.00	2.00	1.83	0.00	0.00
167.00	0.49	1.84	0.00	0.00	1.99	1.58	0.00	0.00
168.00	0.26	0.61	0.00	0.31	2.00	2.00	1.32	0.00
169.00	0.00	1.39	0.38	0.00	2.00	2.00	1.50	0.32
170.00	0.00	1.91	0.00	0.00	2.00	1.90	1.88	0.00
171.00	0.00	2.10	0.86	0.80	2.00	0.87	0.78	0.55
172.00	0.00	1.99	0.74	0.77	2.00	0.80	0.78	0.75
173.00	0.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00
174.00	0.00	2.00	2.00	2.00	2.00	2.00	1.98	2.00
175.00	0.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00
176.00	0.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99
177.00	0.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00
178.00	0.98	1.80	1.88	1.70	2.00	1.94	1.72	1.70
179.00	2.33	2.10	1.91	0.69	1.99	1.92	1.75	1.38
10.1.1.1	0.41	140055.28
10.1.1.2	1.92	17665.88
10.1.1.3	1.74	19350.82
10.1.1.4	1.52	17358.09
10.2.1.2	2.04	7.78
10.1.1.6	1.95	13716.62
10.1.1.7	1.79	15168.05
10.1.1.8	1.51	16292.45
