Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.266s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
149.00	2.00	1.90	2.00	1.99	2.00	1.92	1.99
150.00	2.00	1.91	2.00	2.00	1.99	1.90	2.00
151.00	1.97	1.94	2.00	2.00	2.00	1.95	1.99
152.00	2.00	1.87	2.00	2.00	2.00	1.90	1.99
153.00	0.54	1.95	2.00	2.00	1.99	1.93	1.99
154.00	0.00	1.99	2.00	2.00	2.00	1.88	2.00
155.00	0.00	2.00	1.99	1.99	1.99	1.91	1.98
156.00	0.00	2.00	2.00	2.00	2.00	1.94	1.98
157.00	0.00	2.00	2.00	2.00	2.00	1.95	2.00
158.00	0.00	2.00	2.00	2.00	2.00	1.90	1.99
159.00	0.00	1.99	2.00	2.00	2.00	1.93	2.00
160.00	0.00	2.00	2.00	2.00	1.99	1.94	2.00
161.00	0.00	2.00	1.99	1.99	1.99	1.90	1.98
162.00	0.00	2.00	2.00	2.00	1.98	1.86	2.00
163.00	0.00	2.00	2.00	2.00	2.00	1.93	1.99
164.00	0.00	1.99	2.00	2.00	2.00	1.95	2.00
165.00	0.00	2.01	2.00	2.00	1.98	1.90	1.99
166.00	0.00	1.99	2.00	2.00	2.00	1.97	2.00
167.00	0.00	2.00	1.99	1.99	2.00	1.92	1.97
168.00	0.00	2.00	2.00	2.00	1.99	1.92	2.00
169.00	0.00	2.00	2.00	2.00	1.99	1.93	2.00
170.00	0.00	2.00	2.00	2.00	2.00	1.91	1.99
171.00	0.00	2.00	2.00	2.00	1.99	1.93	1.99
172.00	0.00	1.99	2.00	2.00	2.01	1.92	2.00
173.00	0.00	1.99	1.99	1.99	1.99	1.88	1.99
174.00	0.00	2.00	2.00	2.00	2.00	1.94	2.00
175.00	0.00	2.00	2.00	2.00	1.99	1.90	2.00
176.00	0.00	2.00	2.00	2.00	2.00	1.92	1.98
177.00	0.00	1.98	2.00	2.00	1.99	1.87	1.99
178.00	0.00	2.00	2.00	2.00	1.99	1.84	2.00
179.00	0.00	1.99	1.99	1.99	1.97	1.90	2.00
10.2.1.2	2.04	8.18
10.1.1.1	2.03	2820.72
10.1.1.2	1.95	2305.71
10.1.1.3	2.04	287.65
10.1.1.5	2.02	1585.32
10.1.1.6	1.95	2410.58
10.1.1.7	2.03	2803.50
