Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.823s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
104.00	4.36	3.75	3.60	0.35	0.00	0.00	3.29	0.00	0.00	1.59	1.32	0.00	0.00	0.00	1.91	1.95	0.00	1.53	0.00	0.68	0.00
105.00	4.34	3.75	3.60	0.34	0.48	0.00	2.90	0.00	2.96	1.30	0.04	0.00	0.00	1.27	0.19	1.90	0.00	1.17	0.00	0.00	0.00
106.00	4.36	3.74	3.60	2.47	0.00	0.00	0.26	3.62	0.57	0.56	0.00	0.00	0.00	0.28	0.00	2.00	1.29	1.64	0.00	0.00	0.00
107.00	4.34	3.75	3.59	2.05	0.69	0.31	0.10	1.75	0.00	0.00	0.65	0.00	0.00	1.18	0.00	1.95	0.00	1.66	0.00	0.00	0.00
108.00	4.36	3.75	3.60	0.36	0.67	0.26	0.87	0.00	0.00	3.57	0.24	0.00	0.00	2.34	0.00	1.95	0.00	1.64	1.11	0.00	0.00
109.00	4.34	3.75	3.60	0.00	1.12	0.00	1.55	0.03	0.93	2.55	1.74	0.00	0.00	2.45	0.49	1.95	0.11	1.64	0.00	0.30	0.00
110.00	4.36	3.74	3.60	0.00	2.61	0.00	0.00	0.00	0.00	2.07	0.58	0.00	0.00	1.10	0.00	1.96	0.04	0.99	0.00	0.47	0.00
111.00	4.34	3.75	3.60	1.65	1.63	0.00	0.00	0.46	0.00	0.00	0.49	0.00	0.00	0.06	0.00	1.41	2.44	1.37	0.00	1.29	0.00
112.00	4.36	3.75	3.59	2.58	1.32	0.95	0.03	0.00	0.02	0.44	2.14	0.00	0.00	0.67	0.00	0.56	0.08	1.64	0.00	1.05	0.00
113.00	4.35	3.74	3.60	0.24	0.00	0.00	0.70	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.72	0.00	1.12	0.00	1.05	0.00
114.00	4.35	3.75	3.60	3.34	0.03	0.69	0.00	0.00	0.53	0.76	2.55	0.00	0.00	0.04	0.00	1.01	0.15	1.56	0.00	0.20	0.00
115.00	4.36	3.75	3.60	2.47	0.58	0.48	0.00	0.00	0.00	0.00	1.89	0.00	0.00	0.00	0.00	0.00	0.13	1.64	0.00	0.17	0.00
116.00	4.34	3.75	3.59	0.00	0.00	2.91	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.00	2.10	0.00	0.00	1.66	0.00	1.02	0.00
117.00	4.36	3.74	3.60	4.06	1.22	0.00	0.53	0.00	0.12	0.00	2.56	0.00	0.00	0.19	1.03	1.53	0.00	0.32	0.00	0.30	0.00
118.00	4.34	3.75	3.60	1.96	0.72	0.96	0.56	0.00	0.30	0.00	2.19	0.00	0.00	0.07	0.00	1.78	0.30	1.88	0.00	0.00	0.00
119.00	4.36	3.75	3.60	0.00	0.12	2.19	0.00	1.11	1.51	0.00	0.00	0.00	0.00	0.00	0.55	0.00	1.55	1.64	0.00	0.15	0.00
10.1.1.1	4.82	27.15
10.1.1.2	4.08	31.11
10.1.1.3	3.99	26.05
10.1.1.4	1.03	930.54
10.1.1.5	0.65	1207.25
10.1.1.6	0.65	1138.87
10.1.1.7	0.44	811.72
10.1.1.8	0.78	618.17
10.1.1.9	0.65	1434.95
10.1.1.10	0.72	739.97
10.1.1.11	1.72	1083.26
10.1.1.12	0.00	36668.58
10.1.1.13	0	0
10.1.1.14	0.82	910.71
10.1.1.15	0.61	944.94
10.1.1.16	1.07	922.95
10.1.1.17	0.35	1395.93
10.1.1.18	1.29	891.11
10.1.1.19	0.18	1440.11
10.1.1.20	0.56	1517.27
10.1.1.21	0.08	1009.64
