Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.751s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
90.00	3.75	0.00	0.07	0.92	0.00	1.40	0.93	0.00	1.09	0.24	0.00	0.04	0.11	0.50	0.00	1.55
91.00	3.75	1.26	0.71	0.84	0.95	1.22	0.00	0.00	0.00	0.00	0.69	1.35	1.99	0.00	0.42	0.81
92.00	3.74	0.78	0.16	1.18	2.62	0.00	0.22	0.00	0.72	3.07	0.03	0.00	0.14	0.27	0.00	0.01
93.00	3.75	0.62	0.00	1.24	3.46	1.15	1.68	0.00	0.27	0.28	0.00	0.03	0.02	0.10	0.84	0.00
94.00	3.75	1.95	0.00	0.00	3.00	0.13	1.09	0.00	0.26	0.00	0.00	0.00	2.69	0.36	0.00	0.73
95.00	3.74	0.08	0.57	1.29	0.24	0.19	0.00	0.27	0.00	1.01	0.44	0.00	1.81	0.00	0.00	1.98
96.00	3.75	2.07	0.19	1.30	3.37	0.18	0.00	0.00	0.05	0.00	0.00	0.01	0.81	0.22	0.04	1.51
97.00	3.75	0.40	0.00	0.10	0.41	0.00	0.00	0.44	0.00	0.34	0.00	0.00	0.67	0.01	1.30	1.49
98.00	3.75	0.00	0.26	1.50	1.24	3.03	0.00	0.00	0.00	0.51	1.81	0.00	0.58	0.94	0.71	0.73
99.00	3.74	2.54	0.00	2.05	0.04	0.00	0.00	0.03	0.81	0.00	0.52	0.00	0.00	1.22	0.00	0.54
100.00	3.75	0.38	0.00	0.21	0.00	3.26	0.00	0.01	0.70	0.11	0.00	0.00	0.00	0.00	0.46	0.68
101.00	3.75	0.00	0.00	0.00	0.59	2.83	0.23	0.00	0.42	0.18	0.00	0.00	0.36	2.61	0.00	0.00
102.00	3.74	2.93	0.00	0.04	0.00	0.19	0.51	0.00	1.95	0.63	2.38	0.00	0.00	0.51	0.00	0.20
