Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.730s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
95.00	3.90	0.03	2.43	0.09	0.00	0.54	0.64	0.00	0.00	0.00	2.17	2.00	1.02
96.00	3.89	0.29	3.30	0.00	0.11	0.00	0.00	0.00	2.13	0.00	0.58	0.54	0.00
97.00	3.90	1.20	3.29	0.00	1.75	0.00	0.00	0.00	0.43	0.00	2.25	0.00	0.00
98.00	3.90	0.00	2.15	0.39	0.00	0.00	0.00	0.00	0.17	0.00	1.94	0.00	1.48
99.00	3.89	0.70	0.34	0.52	1.81	0.00	0.00	0.00	0.00	0.00	2.25	0.00	1.80
100.00	3.90	0.00	0.12	0.12	1.84	0.00	0.00	0.42	0.00	0.00	2.26	0.00	1.81
101.00	3.90	0.00	1.42	0.00	0.93	0.00	0.00	0.00	0.15	0.00	2.25	0.00	1.80
102.00	3.89	2.31	0.27	0.89	0.01	0.00	0.34	0.00	0.07	0.00	0.82	0.00	1.13
103.00	3.90	3.60	1.00	0.46	0.47	0.00	2.47	0.00	0.35	0.00	1.12	2.44	1.43
104.00	3.90	3.60	0.00	0.92	0.00	0.00	0.90	0.19	0.36	0.00	1.12	0.63	0.60
105.00	3.89	3.60	0.00	0.00	0.46	0.00	0.00	0.16	0.88	0.54	0.00	0.00	0.90
106.00	3.90	3.60	0.00	3.98	0.70	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.33
107.00	3.90	0.80	3.79	1.16	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	1.09
108.00	3.89	1.48	3.30	0.00	0.00	0.00	0.00	3.12	0.00	0.00	0.00	0.00	1.81
109.00	3.90	3.60	0.56	0.52	0.62	0.00	0.73	1.26	0.16	0.00	1.69	0.00	0.47
110.00	3.90	3.60	0.44	0.06	0.00	3.17	0.06	0.00	0.13	0.00	0.63	0.00	0.00
111.00	3.89	3.59	0.00	2.55	0.00	2.70	0.65	0.00	0.00	0.00	0.06	0.00	0.00
112.00	3.90	3.60	0.04	3.15	0.00	2.70	0.05	0.00	0.00	0.00	0.23	0.00	0.47
113.00	3.90	0.46	2.28	0.85	0.00	0.15	0.82	0.00	0.75	0.00	0.59	0.00	0.29
114.00	3.89	0.24	3.29	0.78	0.00	0.00	2.41	0.00	0.59	0.00	0.16	0.00	0.00
115.00	3.90	0.49	3.30	0.33	0.00	0.00	2.69	0.00	0.29	0.00	0.78	0.00	0.45
116.00	3.90	0.73	3.30	0.26	0.00	0.00	2.71	0.00	0.19	0.00	0.00	0.00	2.06
117.00	3.89	0.47	3.30	0.31	0.00	0.00	2.70	0.00	0.77	0.00	0.00	0.00	0.94
118.00	3.90	2.20	0.95	0.00	0.67	0.00	2.70	0.00	0.59	0.00	0.00	0.00	0.44
119.00	3.90	3.60	0.59	0.00	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	0.80
10.1.1.1	4.32	24.58
10.1.1.2	1.43	855.63
10.1.1.3	1.38	770.59
10.1.1.4	0.84	1069.43
10.1.1.5	0.20	1135.61
10.1.1.6	1.13	641.56
10.1.1.7	1.19	605.14
10.1.1.8	0.28	874.83
10.1.1.9	0.15	1113.49
10.1.1.10	0.16	3537.71
10.1.1.11	0.95	1292.74
10.1.1.12	0.77	613.74
10.1.1.13	0.81	608.02
