Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.150s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
111.00	3.75	0.35	0.32	0.00	3.00	0.48	0.00	0.00	0.00	2.70	0.04	0.71	0.16	0.00	0.00	0.47	0.00
112.00	3.75	0.00	0.99	0.00	2.84	0.27	0.00	0.00	0.00	2.55	0.00	0.00	0.07	0.00	0.00	0.00	0.00
113.00	3.74	0.00	0.78	0.00	3.16	0.00	0.06	1.18	0.62	0.23	1.66	0.88	0.00	0.00	0.00	0.00	0.00
114.00	3.75	0.00	0.00	0.00	3.00	0.45	0.11	0.74	0.00	0.60	2.75	1.70	0.20	0.00	0.00	0.10	0.00
115.00	3.75	0.00	0.99	0.00	2.18	0.24	0.00	0.00	0.06	0.00	1.17	1.45	0.27	0.00	0.00	1.85	0.00
116.00	3.75	0.00	3.28	0.00	0.00	0.01	0.00	0.82	0.23	0.00	0.00	0.72	0.47	0.00	0.00	0.47	0.00
117.00	3.74	2.34	0.79	0.00	0.22	0.00	3.20	0.03	0.00	0.03	0.06	1.64	0.00	0.00	0.00	0.00	0.00
118.00	3.75	0.59	0.46	0.00	0.00	0.00	2.84	0.04	0.15	0.00	0.49	2.25	0.04	0.00	0.00	0.75	0.00
119.00	3.75	0.00	0.14	0.00	0.58	0.28	2.85	0.00	0.90	0.00	0.39	2.25	1.21	0.00	0.00	0.46	0.00
10.1.1.1	4.15	24.61
10.1.1.2	0.64	1092.01
10.1.1.3	1.12	688.93
10.1.1.4	0.23	1100.85
10.1.1.5	1.16	570.45
10.1.1.6	0.17	1788.74
10.1.1.7	1.12	755.87
10.1.1.8	0.30	1277.26
10.1.1.9	0.64	2107.57
10.1.1.10	0.66	963.63
10.1.1.11	0.89	639.62
10.1.1.12	1.69	669.13
10.1.1.13	0.68	813.33
10.1.1.14	0.05	1027.02
10.1.1.15	0.11	1360.04
10.1.1.16	0.06	3061.90
10.1.1.17	0.17	1248.08
