Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.902s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
82.00	3.75	0.26	0.06	0.31	0.72	0.00	0.09	0.57	0.29	0.04	0.08	0.00	0.00	0.00	0.15	0.00	1.56	0.00	0.49	0.35	1.25	0.45
83.00	3.75	0.00	0.00	2.90	1.23	0.00	0.69	1.12	0.21	0.79	0.00	1.43	0.00	0.00	1.42	0.00	0.17	0.39	0.00	0.10	1.29	0.45
84.00	3.74	0.00	0.00	0.09	0.15	0.00	0.00	0.13	0.15	0.10	0.00	0.14	0.00	0.00	2.15	1.92	2.07	0.05	0.22	0.38	1.01	0.44
85.00	3.75	0.00	0.72	0.39	1.51	0.72	0.00	1.06	0.00	0.51	0.57	0.74	2.43	0.00	0.10	0.00	0.16	0.87	0.01	0.03	0.26	0.46
86.00	3.75	0.00	1.06	0.72	2.86	0.00	0.87	0.36	0.01	0.00	0.00	0.09	0.00	0.00	2.33	0.27	0.00	0.00	0.00	0.00	0.00	0.44
87.00	3.75	0.00	1.49	0.06	0.43	0.66	1.11	1.42	0.00	0.00	0.53	0.21	1.49	0.00	0.97	0.00	0.00	0.00	0.00	0.92	0.13	0.45
88.00	3.74	0.00	2.94	0.11	2.36	0.33	0.00	0.30	0.49	0.39	0.00	0.11	0.71	0.05	0.00	0.00	0.00	0.51	0.09	1.02	0.13	0.40
89.00	3.75	0.00	0.42	0.11	0.00	1.77	0.00	0.40	0.01	0.23	0.00	2.19	0.14	1.45	0.01	0.91	0.00	0.16	0.51	0.00	0.43	0.00
90.00	3.75	0.00	1.84	1.87	3.27	1.35	0.00	0.42	0.01	0.13	1.23	0.00	1.19	0.49	0.17	0.00	0.00	0.18	0.04	0.04	0.57	0.33
91.00	3.75	0.00	0.46	3.14	0.85	0.17	0.00	0.00	0.76	0.51	0.04	1.84	0.08	0.01	0.70	0.00	0.00	0.45	0.00	0.56	0.00	0.15
92.00	3.74	0.00	1.38	0.53	0.69	0.13	0.00	0.01	0.00	0.00	0.00	0.17	0.22	0.96	1.05	0.00	0.00	0.00	0.01	1.06	0.15	0.91
93.00	3.75	0.00	1.12	0.36	0.41	0.00	0.00	0.46	0.00	0.11	2.20	0.04	2.82	0.38	0.05	0.00	0.00	0.03	1.56	0.69	0.00	0.00
94.00	3.75	0.00	0.85	1.92	0.89	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.52	1.04	0.41	0.00	0.00	0.01	0.26	0.04	1.71	0.00
95.00	3.74	0.00	0.27	3.15	0.90	0.00	0.00	1.44	0.00	0.47	1.27	1.63	0.17	0.00	0.48	0.48	0.00	0.00	1.77	0.00	0.58	0.00
96.00	3.75	0.00	0.57	3.14	0.00	0.24	2.68	0.00	0.00	0.00	0.28	0.00	0.71	0.00	1.13	0.00	0.00	0.00	1.64	0.00	0.00	0.00
97.00	3.75	0.00	0.09	0.92	0.28	0.00	1.40	0.00	0.00	0.00	2.42	0.42	0.97	0.00	0.91	0.00	0.00	1.05	0.78	0.00	0.00	0.00
98.00	3.75	0.00	0.74	0.11	0.00	0.00	0.73	0.60	0.00	2.04	2.39	0.00	2.24	0.00	0.94	0.07	0.00	0.00	0.00	0.00	0.09	0.00
99.00	3.74	0.00	0.00	0.69	0.00	3.68	0.47	0.00	0.19	0.29	2.41	0.41	0.01	0.00	0.00	2.83	0.00	0.00	0.19	0.00	0.38	0.00
100.00	3.75	0.00	0.03	1.70	0.00	0.82	0.24	0.00	0.17	3.14	0.90	0.00	0.21	0.00	0.00	0.41	1.95	0.00	0.07	0.00	0.84	0.00
101.00	3.75	0.00	0.91	1.82	0.00	0.00	0.07	0.00	0.44	0.64	0.48	0.00	2.62	0.00	0.00	0.20	0.93	0.51	1.41	0.00	1.31	0.00
102.00	3.74	0.00	2.11	0.97	0.00	0.00	0.00	0.00	0.00	0.09	0.06	0.82	2.10	0.45	0.00	1.27	0.00	0.51	0.07	0.00	0.34	0.00
103.00	3.75	0.00	0.75	0.26	0.00	0.00	0.00	0.00	0.87	0.35	0.42	0.06	2.10	0.04	0.72	0.00	0.05	0.00	0.06	0.00	0.51	0.00
104.00	3.75	0.00	0.15	2.36	0.03	0.00	0.08	0.00	0.00	0.08	0.84	0.00	1.62	0.00	0.01	0.25	0.06	0.00	0.04	0.00	0.00	0.00
105.00	3.75	0.00	0.75	0.98	0.00	0.00	0.08	0.00	0.63	1.04	0.17	0.00	0.31	0.00	1.64	1.16	0.00	0.09	0.00	0.00	0.83	0.00
106.00	3.74	0.00	2.07	0.00	1.52	0.00	0.14	0.00	0.56	0.32	0.00	0.00	0.00	0.00	1.96	0.27	0.18	1.12	2.03	0.00	0.42	0.00
107.00	3.75	0.00	1.90	0.74	1.13	0.19	0.45	0.00	0.07	0.00	0.00	2.37	0.47	0.30	1.95	0.04	0.00	0.00	0.00	0.00	0.00	0.00
108.00	3.75	0.00	1.76	2.62	0.00	0.00	0.24	0.33	0.00	0.24	0.54	0.82	2.25	0.16	0.73	0.20	0.00	1.14	0.00	0.00	0.00	0.00
109.00	3.75	0.00	0.15	2.26	0.00	0.00	0.18	0.00	0.30	0.00	0.04	0.59	1.33	0.16	0.15	0.29	2.01	0.55	0.00	0.11	0.11	0.25
110.00	3.75	0.00	1.72	0.15	0.00	0.00	1.14	1.71	0.00	0.00	0.87	1.07	1.66	0.09	0.39	0.13	1.92	0.00	0.00	0.03	1.17	0.00
111.00	3.75	0.00	0.00	3.47	0.00	0.00	1.27	0.23	0.00	2.12	0.00	2.25	0.38	1.38	0.35	0.00	0.18	0.14	0.00	0.54	0.40	0.01
112.00	3.75	0.00	0.49	1.14	0.00	0.00	0.63	0.00	0.54	0.74	1.37	2.25	0.00	0.00	2.17	0.70	0.18	0.00	0.00	0.00	0.16	0.45
113.00	3.74	0.35	1.09	0.78	0.00	0.00	3.54	0.38	0.00	0.04	0.00	0.38	0.00	0.25	1.95	0.20	1.34	0.59	0.19	0.79	0.65	0.26
114.00	3.75	0.51	0.72	0.00	0.05	1.20	0.00	1.35	0.00	0.85	0.09	0.00	0.09	1.76	0.98	1.94	0.00	1.60	0.00	0.00	0.00	0.04
115.00	3.75	0.00	0.00	1.24	2.63	1.17	0.73	0.08	0.60	1.20	0.00	0.00	0.85	0.05	0.02	0.03	0.00	0.04	0.00	1.15	0.39	0.00
116.00	3.75	0.00	0.00	1.73	1.50	0.14	0.46	0.09	0.04	0.25	0.00	0.75	0.42	0.00	0.75	1.02	1.17	0.76	0.00	0.11	0.63	1.16
117.00	3.74	0.00	0.00	0.88	0.17	0.83	0.00	0.00	0.00	0.06	1.48	0.00	1.22	0.00	0.22	1.57	0.80	0.10	2.47	0.00	0.05	0.41
118.00	3.75	0.51	0.00	0.09	0.00	2.10	1.88	0.30	0.00	0.00	0.23	0.00	0.50	0.00	0.00	1.60	0.00	2.00	0.49	0.00	0.00	0.00
