Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.870s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
64.00	4.05	3.44	0.66	0.40	0.11	0.00	0.00	0.52	0.00	0.51	2.60	2.69	0.04	0.34	0.25	0.04	0.00	0.18	0.00	0.00	1.05	0.00	0.73	0.00
65.00	4.04	3.45	0.81	0.00	0.08	0.00	1.47	0.06	0.00	0.26	0.33	0.27	0.10	0.00	0.19	1.48	1.79	0.00	0.14	0.53	0.43	0.94	0.85	0.00
66.00	4.05	3.45	0.59	0.70	0.44	0.00	0.31	0.00	0.00	0.84	2.34	0.77	1.86	0.48	0.17	0.00	1.49	0.57	0.17	0.23	0.41	0.41	0.00	0.00
67.00	4.04	3.45	0.38	0.41	0.00	0.00	0.62	0.00	0.00	0.93	2.12	0.71	1.67	0.43	0.21	0.15	1.51	0.45	0.06	0.00	0.09	0.09	0.00	0.00
68.00	4.05	3.45	2.24	0.09	0.00	0.00	0.39	0.00	0.00	1.35	0.38	1.77	0.01	0.30	0.37	0.00	1.42	0.00	0.66	2.09	0.18	0.00	0.79	0.00
69.00	4.05	3.45	2.18	0.20	0.00	0.00	2.12	0.00	0.00	0.24	0.67	1.55	0.00	0.64	0.69	0.00	0.23	0.27	0.00	1.12	0.00	0.15	0.77	0.00
70.00	4.04	3.44	1.83	0.60	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.00	0.80	0.00	0.87	1.19	0.80	0.49	0.08	0.28
71.00	4.05	3.45	2.92	0.10	0.00	0.00	0.19	0.00	0.00	1.67	0.97	0.03	0.00	0.18	0.00	0.00	0.00	0.11	0.14	1.20	0.31	0.00	0.20	0.15
72.00	4.05	3.45	0.23	1.18	0.00	0.00	1.32	0.16	0.00	0.00	0.45	0.57	0.37	0.31	0.31	0.00	0.88	1.17	0.13	1.19	0.65	0.00	0.09	0.00
73.00	4.04	3.45	0.19	2.55	0.00	0.00	0.67	0.00	0.00	0.00	1.63	0.05	1.02	0.00	1.17	0.00	0.78	0.28	0.25	1.20	0.04	0.01	0.59	0.72
74.00	4.05	3.45	0.00	0.36	0.00	0.00	0.60	0.00	0.00	0.00	2.25	0.54	0.00	0.54	0.00	0.27	1.81	0.00	0.00	1.20	0.00	1.02	0.14	0.69
75.00	4.04	3.45	0.99	0.02	0.00	0.00	0.24	0.00	0.00	0.00	2.04	0.00	2.36	0.06	0.09	0.00	0.66	0.46	0.02	1.19	0.99	0.99	0.00	0.71
76.00	4.05	3.44	0.00	0.94	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.37	0.30	0.01	0.00	0.00	0.03	1.65	0.88	0.02	1.71	0.39	1.82	0.00
77.00	4.05	3.45	2.62	0.12	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.04	0.42	0.06	0.52	0.39	0.42	0.72	0.00	0.37	1.04	0.00	0.90	0.00
78.00	4.04	3.45	0.07	0.00	0.00	0.00	0.09	1.71	0.00	0.30	0.11	2.00	0.42	0.18	0.00	0.42	0.13	0.00	0.00	0.42	1.05	0.06	0.90	0.00
79.00	4.05	3.45	0.00	0.04	0.00	0.00	1.32	0.14	0.00	0.00	0.08	1.95	0.10	0.46	0.00	0.57	0.00	0.00	0.00	0.34	1.04	0.46	0.90	0.00
80.00	4.04	3.45	0.95	0.00	0.00	0.00	0.76	0.00	0.00	3.09	0.00	0.27	0.89	0.59	0.00	0.00	0.00	0.00	0.00	1.22	1.05	0.00	0.28	0.00
81.00	4.05	3.44	0.00	0.00	0.00	0.00	1.71	0.00	0.00	2.25	0.14	0.00	0.00	0.54	0.66	0.00	0.00	2.01	0.00	0.90	1.05	0.00	0.61	0.00
82.00	4.05	3.45	0.00	1.13	0.00	0.00	2.40	0.12	0.00	2.25	2.31	0.00	0.42	0.46	0.00	0.00	0.00	1.49	0.00	0.00	1.04	0.34	0.04	0.00
83.00	4.04	3.45	0.68	0.00	0.26	0.00	0.32	0.00	0.00	2.25	2.26	0.94	1.17	0.00	0.00	0.13	0.00	1.33	0.00	0.00	0.10	0.09	0.00	1.68
84.00	4.05	3.45	0.91	1.28	0.00	0.00	0.89	0.00	0.00	1.03	0.61	0.00	2.44	0.00	0.00	0.18	0.00	0.24	0.00	1.14	0.28	1.69	0.07	0.37
85.00	4.05	3.45	0.84	0.04	0.00	0.00	0.01	0.00	0.00	0.30	1.98	0.78	1.80	1.46	0.00	0.18	1.85	0.00	0.00	1.62	0.39	1.32	0.00	0.00
86.00	4.04	3.45	0.74	0.00	0.00	0.00	0.00	0.03	0.00	0.68	2.25	0.00	1.80	0.00	0.00	0.00	1.49	0.00	0.00	0.66	0.11	1.05	0.00	0.00
87.00	4.05	3.44	0.00	0.00	0.00	0.00	2.32	0.93	0.00	0.19	2.25	0.56	0.67	0.00	0.00	0.00	1.49	0.00	0.00	0.09	0.27	1.05	0.00	0.00
88.00	4.04	3.45	0.90	1.11	0.00	0.00	0.00	0.00	0.00	2.19	2.24	0.00	0.89	0.38	0.00	0.03	1.51	0.00	0.00	0.07	0.22	1.04	0.00	0.22
89.00	4.05	3.45	0.13	1.46	0.00	0.00	0.09	0.00	0.00	0.54	1.44	0.00	0.00	0.46	0.00	0.18	0.34	0.00	0.00	0.00	1.86	0.26	0.00	0.00
90.00	4.05	3.45	1.21	0.12	0.24	0.00	0.00	0.96	0.00	0.89	0.48	0.45	2.02	0.01	0.00	1.21	0.42	0.00	0.00	2.00	0.71	0.36	0.00	0.00
91.00	4.04	3.45	0.10	0.31	0.37	0.00	0.79	0.42	0.00	0.54	0.34	2.56	0.74	0.01	0.00	0.22	0.06	0.11	1.43	1.20	0.10	1.94	0.00	0.00
92.00	4.05	3.45	1.42	0.51	0.63	0.00	0.45	0.02	0.00	0.00	0.76	1.07	0.99	1.19	0.00	0.03	0.83	0.00	0.33	1.19	0.00	1.05	0.00	0.00
93.00	4.05	3.44	0.00	0.22	0.19	0.00	1.09	0.00	0.00	0.00	0.89	0.00	0.00	0.27	0.00	0.00	0.06	0.70	0.00	1.20	0.87	1.05	1.24	1.53
94.00	4.04	3.45	0.05	0.72	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.59	0.90	0.00	0.00	0.00	1.69	0.52	1.19	0.13	0.47	0.90	0.09
95.00	4.05	3.45	0.01	0.10	0.32	0.00	0.00	0.00	0.00	1.08	1.08	1.10	0.00	0.00	0.00	0.23	0.00	0.41	0.34	0.49	0.17	0.03	0.90	0.53
96.00	4.04	3.45	0.00	0.15	0.00	0.00	0.00	0.81	0.00	0.71	0.09	1.69	0.00	0.00	0.72	0.00	0.00	0.00	0.04	0.45	1.17	0.00	0.42	1.60
97.00	4.05	3.45	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.76	1.38	0.92	0.19	1.71	0.15	0.81	0.11	0.01	1.13	0.20	1.05	0.78	0.10	0.75
98.00	4.05	3.44	0.62	1.48	0.00	0.00	0.65	0.66	0.00	0.30	0.00	0.21	2.64	0.10	0.21	0.02	0.00	1.35	0.11	0.00	1.05	0.37	0.34	0.75
99.00	4.04	3.45	0.00	0.00	0.00	0.00	1.30	0.00	0.00	1.60	0.10	0.00	1.80	0.34	0.02	0.09	0.00	0.00	0.00	0.13	0.42	0.12	1.68	0.17
100.00	4.05	3.45	0.00	1.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	1.48	0.21	0.57	1.59	0.00	0.63	1.91	0.61	0.00	0.78	0.82
101.00	4.05	3.45	0.00	0.21	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.21	0.00	0.27	0.00	0.10	0.55	1.24	1.20	0.36	1.60	0.00	0.00
102.00	4.04	3.45	0.01	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.52	2.18	0.12	0.46	0.00	0.00	0.00	0.21	1.19	0.61	0.00	0.00	0.72
103.00	4.05	3.45	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.57	0.19	1.05	1.80	0.14	0.06	0.54	0.00	0.00	0.49	0.77	0.24	0.45	1.52	1.71
104.00	4.04	3.44	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.78	0.33	1.80	0.18	0.04	0.00	0.64	0.00	0.90	1.31	0.04	0.00	0.90	0.25
105.00	4.05	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	0.00	1.81	0.04	0.11	0.72	0.52	0.00	0.08	1.20	0.00	0.00	0.88	0.17
106.00	4.05	3.45	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.17	0.00	1.80	0.96	0.00	0.00	2.09	0.72	1.93	0.14	1.17	0.39	0.12	1.50
107.00	4.04	3.45	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.52	0.20	1.60	0.00	0.00	0.00	0.12	0.12	0.00	1.85	0.00	0.91	0.62	0.30
108.00	4.05	3.45	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.10	0.59	0.00	0.00	0.00	0.31	0.04	1.20	0.00	0.00	1.28	0.00
109.00	4.04	3.45	0.00	0.11	0.00	0.00	0.00	1.64	0.00	0.00	2.78	0.06	2.53	0.43	0.00	0.00	0.00	0.97	0.00	0.74	0.66	0.00	0.56	0.00
110.00	4.05	3.44	0.85	0.03	1.15	0.00	0.00	0.00	0.00	0.00	1.24	0.00	1.81	0.96	0.00	0.00	0.19	0.00	0.00	0.48	0.04	0.00	0.00	0.00
111.00	4.05	3.45	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.51	0.27	0.00	0.00	0.00	0.00	1.44
112.00	4.04	3.45	0.00	2.57	1.08	0.00	1.16	0.00	0.00	1.31	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.09	0.66	0.55	1.95	0.00	0.50	0.63
113.00	4.05	3.45	0.00	0.43	0.67	0.00	1.99	0.00	0.00	0.67	2.03	1.08	0.21	0.00	0.00	0.00	0.00	0.00	0.10	1.34	0.78	0.00	0.06	0.02
114.00	4.05	3.45	0.01	2.41	0.00	0.00	0.74	0.00	0.00	0.00	2.22	1.09	1.08	0.00	0.00	0.00	0.00	1.31	0.01	0.25	0.02	0.51	0.24	0.00
115.00	4.04	3.44	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.35	0.86	0.04	1.08	0.00	0.00	0.00	0.00	0.00	0.01	2.02	0.00	0.52	1.77	0.37
116.00	4.05	3.45	0.63	0.00	0.00	0.12	0.03	0.74	0.82	0.00	1.86	0.00	0.00	0.00	0.00	0.62	0.00	1.19	0.00	1.19	1.92	0.00	0.32	0.00
117.00	4.04	3.45	0.00	0.00	1.67	0.00	0.08	0.00	0.00	1.71	0.00	0.69	0.04	0.42	0.00	0.00	0.00	0.00	0.00	1.21	1.05	0.00	1.14	0.56
118.00	4.05	3.45	0.62	0.26	0.57	0.00	0.00	0.00	3.28	0.93	0.64	0.09	0.07	0.38	0.00	0.00	0.00	0.07	0.58	1.20	1.05	0.00	0.00	0.00
119.00	4.05	3.45	0.00	0.00	0.00	0.00	0.00	0.00	2.26	0.41	0.67	0.73	0.24	0.90	0.00	1.01	0.00	0.00	0.00	1.19	1.04	0.24	0.91	0.00
10.1.1.1	4.49	25.34
10.1.1.2	3.82	25.59
10.1.1.3	0.82	1982.93
10.1.1.4	0.47	2416.27
10.1.1.5	0.24	1647.93
10.1.1.6	0.00	1387.28
10.1.1.7	0.70	1074.96
10.1.1.8	0.22	1187.94
10.1.1.9	0.07	2433.82
10.1.1.10	0.65	1053.84
10.1.1.11	0.86	4119.00
10.1.1.12	0.53	2012.79
10.1.1.13	0.99	1418.02
10.1.1.14	0.43	1280.13
10.1.1.15	0.23	1753.98
