Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.420s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
138.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
139.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
140.00	2.00	2.00	0.00	0.00	2.00	0.00	1.99	0.00
141.00	2.00	1.99	0.00	0.00	2.00	0.00	2.00	0.00
142.00	1.99	2.00	0.00	0.00	2.00	0.00	2.00	0.00
143.00	2.00	2.00	0.00	0.00	1.99	0.00	2.00	0.00
144.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
145.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
146.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
147.00	2.00	2.00	0.00	0.00	2.00	0.00	1.99	0.00
148.00	1.99	1.99	0.00	0.00	2.00	0.00	2.00	0.00
149.00	1.99	1.99	0.00	0.00	1.99	0.00	2.00	0.00
150.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
151.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
152.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
153.00	2.00	1.99	0.00	0.00	2.00	0.00	1.99	0.00
154.00	1.99	2.00	0.00	0.00	2.00	0.00	2.00	0.00
