Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
132.00	0.40	0.22	0.00	0.77	0.00	0.41	0.85	2.00	0.64	0.33	0.00	0.22	1.12	0.16	0.25
133.00	0.00	0.62	0.85	0.89	0.00	0.00	0.00	2.00	0.85	0.00	0.00	0.27	0.49	1.75	0.04
134.00	0.28	0.06	0.57	0.31	0.00	0.27	0.52	2.00	0.38	0.15	0.00	0.74	0.34	0.00	0.00
135.00	0.00	1.15	1.38	1.06	0.00	0.00	1.95	2.00	1.84	0.24	0.00	0.00	1.73	0.88	0.31
136.00	0.00	0.87	1.38	1.26	0.00	0.00	1.06	1.99	0.55	0.22	0.49	2.36	2.26	0.38	0.27
137.00	0.98	1.05	1.02	1.08	0.00	0.95	1.20	2.00	1.12	0.98	0.00	1.40	1.20	0.32	0.12
138.00	0.00	1.00	0.18	1.21	0.00	0.00	0.84	2.00	0.35	0.26	0.00	0.85	0.24	1.48	0.99
139.00	0.00	1.48	0.92	0.92	0.00	0.00	1.15	2.00	1.21	1.28	0.00	1.79	1.66	0.00	0.00
140.00	0.13	0.52	0.54	0.59	0.00	0.13	0.19	2.00	0.35	0.21	0.00	0.87	0.52	0.47	0.00
141.00	0.13	0.62	1.99	0.61	0.00	0.15	0.80	2.00	0.51	0.46	0.00	0.00	1.47	0.68	0.00
142.00	0.00	0.08	1.12	0.37	0.00	0.00	0.54	2.00	0.00	0.00	0.00	0.00	0.48	0.41	0.00
143.00	0.01	0.65	0.31	0.62	0.00	0.00	0.74	1.99	0.16	0.14	0.25	0.61	1.00	0.25	0.05
144.00	0.00	0.28	0.00	0.48	0.00	0.00	1.34	2.00	0.37	0.38	0.02	0.69	0.38	0.31	0.00
145.00	0.16	1.12	0.61	1.33	0.00	0.12	0.46	2.00	0.67	0.69	0.44	0.81	1.68	1.84	0.95
146.00	0.00	0.31	1.24	0.60	0.00	0.00	1.06	2.00	1.53	0.79	0.00	0.64	0.84	0.65	0.64
147.00	0.60	0.65	0.73	0.77	0.00	0.00	0.15	2.00	0.91	0.87	0.00	0.00	0.18	0.91	0.00
148.00	0.31	1.81	1.72	1.38	0.00	0.00	0.00	2.00	0.64	0.31	0.00	1.27	1.86	1.02	0.65
149.00	0.59	0.49	0.62	0.66	0.00	0.42	0.46	1.99	1.58	0.31	0.00	0.71	0.06	0.61	0.00
150.00	0.00	0.32	0.62	0.71	0.00	0.00	1.33	2.00	0.16	0.00	0.00	0.67	1.94	1.27	0.00
151.00	0.00	0.15	0.86	0.31	0.00	0.00	1.25	2.00	0.40	0.97	0.15	0.52	0.40	0.20	0.00
