Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.322s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
145.00	2.00	1.99	2.00	0.00	2.00	2.00	0.00	0.00
146.00	2.00	1.92	1.95	0.91	2.00	2.00	0.35	0.91
147.00	2.00	2.00	1.99	1.97	2.00	1.99	0.00	1.99
148.00	2.00	2.00	2.00	1.94	2.00	2.00	0.00	1.99
149.00	1.99	2.00	2.00	1.98	1.99	2.00	0.00	2.00
150.00	1.99	2.00	2.00	1.94	2.00	2.00	0.00	1.99
151.00	2.00	2.00	2.00	1.97	2.00	1.99	0.00	1.99
152.00	1.81	1.77	1.45	0.48	2.00	1.63	1.33	0.40
153.00	0.91	1.86	1.52	0.00	2.00	1.65	1.88	0.00
154.00	2.60	1.99	1.63	0.00	2.00	1.94	1.91	0.00
155.00	1.98	2.00	1.59	0.33	1.99	1.88	1.99	0.33
156.00	1.95	1.48	1.55	0.52	2.00	1.94	1.04	0.51
157.00	2.03	0.99	1.78	0.47	2.00	2.01	0.78	0.46
158.00	1.98	1.98	1.72	0.55	2.00	2.00	0.67	0.54
159.00	1.79	1.91	2.00	0.88	2.00	1.99	1.99	0.87
160.00	1.94	1.75	1.48	0.00	2.00	1.71	1.67	0.00
161.00	1.74	1.71	1.68	0.51	1.99	1.61	1.72	0.51
162.00	1.73	1.22	1.46	0.00	2.00	0.80	1.13	0.00
163.00	1.87	1.21	0.72	0.11	2.00	1.51	1.13	0.11
164.00	2.01	2.01	0.92	0.45	2.00	1.11	1.32	0.44
165.00	1.99	1.94	1.46	0.48	2.00	1.81	1.28	0.47
166.00	1.99	2.00	1.48	0.00	2.00	2.00	1.26	0.00
167.00	1.90	1.87	0.61	0.00	1.99	1.88	0.33	0.00
168.00	2.00	1.88	2.03	0.08	2.00	1.99	1.72	0.07
169.00	1.83	1.94	1.19	0.14	2.00	0.61	0.88	0.16
170.00	1.93	1.88	0.61	0.19	2.00	2.07	0.00	0.19
171.00	2.00	1.88	0.31	0.00	2.00	1.98	0.00	0.00
172.00	2.00	1.87	1.77	0.19	2.00	2.01	1.41	0.11
173.00	1.99	1.78	1.78	0.12	1.99	1.95	1.65	0.13
174.00	1.97	1.90	1.94	0.00	2.00	1.95	0.00	0.00
175.00	2.00	2.01	2.01	1.41	2.00	1.98	0.00	1.42
176.00	2.00	1.99	1.99	1.95	2.00	1.97	0.00	1.99
177.00	2.00	2.00	2.01	1.98	2.00	1.98	0.00	2.00
178.00	2.00	2.00	1.99	1.93	2.00	1.94	0.00	2.00
179.00	1.99	1.99	2.00	1.99	1.99	1.97	0.00	1.99
10.1.1.1	1.97	11077.00
10.1.1.2	1.88	26206.51
10.1.1.3	1.66	42628.85
10.1.1.4	0.61	165733.37
10.2.1.2	2.04	7.80
10.1.1.6	1.87	17054.53
10.1.1.7	0.37	102142.44
10.1.1.8	0.53	175480.27
