% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1784	2	0	1	0	28	2292	0	1	1	0
1785	2	0	1	0	28	2292	0	1	1	0
1786	2	0	1	0	28	2292	0	1	1	0
1787	2	0	1	0	28	2292	0	1	1	0
1788	2	0	1	0	28	2292	0	1	1	0
1789	2	0	1	0	28	2292	0	1	1	0
1790	2	0	1	0	28	2292	0	1	1	0
1791	2	0	1	0	28	2292	0	1	1	0
1792	2	0	1	0	28	2292	0	1	1	0
1793	2	0	1	0	28	2292	0	1	1	0
1794	2	0	1	0	28	2292	0	1	1	0
1795	2	0	1	0	28	2292	0	1	1	0
1796	2	0	1	0	28	2292	0	1	1	0
1797	2	0	1	0	28	2292	0	1	1	0
1798	2	0	1	0	28	2292	0	1	1	0
1799	2	0	1	0	28	2292	0	1	1	0
1800	2	0	1	0	28	2292	0	1	1	0
1801	2	0	1	0	28	2292	0	1	1	0
1802	2	0	1	0	28	2292	0	1	1	0
1803	2	0	1	0	28	2292	0	1	1	0
1804	2	0	1	0	28	2292	0	1	1	0
1805	2	0	1	0	28	2292	0	1	1	0
1806	2	0	1	0	28	2292	0	1	1	0
1807	2	0	1	0	28	2292	0	1	1	0
1808	2	0	1	0	28	2292	0	1	1	0
1809	2	0	1	0	28	2292	0	1	1	0
1810	2	0	1	0	28	2292	0	1	1	0
1811	2	0	1	0	28	2292	0	1	1	0
1812	2	0	1	0	28	2292	0	1	1	0
1813	2	0	1	0	28	2292	0	1	1	0
1814	2	0	1	0	28	2292	0	1	1	0
1815	2	0	1	0	28	2292	0	1	1	0
1816	2	0	1	0	28	2292	0	1	1	0
1817	2	0	1	0	28	2292	0	1	1	0
1818	2	0	1	0	28	2292	0	1	1	0
1819	2	0	1	0	28	2292	0	1	1	0
1820	2	0	1	0	28	2292	0	1	1	0
1821	2	0	1	0	28	2292	0	1	1	0
1822	2	0	1	0	28	2292	0	1	1	0
1823	2	0	1	0	28	2292	0	1	1	0
1824	2	0	1	0	28	2292	0	1	1	0
1825	2	0	1	0	28	2292	0	1	1	0
1826	2	0	1	0	28	2292	0	1	1	0
1827	2	0	1	0	28	2292	0	1	1	0
1828	2	0	1	0	28	2292	0	1	1	0
1829	2	0	1	0	28	2292	0	1	1	0
1830	2	0	1	0	28	2292	0	1	1	0
1831	2	0	1	0	28	2292	0	1	1	0
1832	2	0	1	0	28	2292	0	1	1	0
1833	2	0	1	0	28	2292	0	1	1	0
1834	2	0	1	0	28	2292	0	1	1	0
1835	2	0	1	0	28	2292	0	1	1	0
1836	2	0	1	0	28	2292	0	1	1	0
1837	2	0	1	0	28	2292	0	1	1	0
1838	2	0	1	0	28	2292	0	1	1	0
1839	2	0	1	0	28	2292	0	1	1	0
1840	2	0	1	0	28	2292	0	1	1	0
1841	2	0	1	0	28	2292	0	1	1	0
1842	2	0	1	0	28	2292	0	1	1	0
1843	2	0	1	0	28	2292	0	1	1	0
1844	2	0	1	0	28	2292	0	1	1	0
1845	2	0	1	0	28	2292	0	1	1	0
1846	2	0	1	0	28	2292	0	1	1	0
1847	2	0	1	0	28	2292	0	1	1	0
1848	2	0	1	0	28	2292	0	1	1	0
1849	2	0	1	0	28	2292	0	1	1	0
1850	2	0	1	0	28	2292	0	1	1	0
1851	2	0	1	0	28	2292	0	1	1	0
1852	2	0	1	0	28	2292	0	1	1	0
1853	2	0	1	0	28	2292	0	1	1	0
1854	2	0	1	0	28	2292	0	1	1	0
1855	2	0	1	0	28	2292	0	1	1	0
1856	2	0	1	0	28	2292	0	1	1	0
1857	2	0	1	0	28	2292	0	1	1	0
1858	2	0	1	0	28	2292	0	1	1	0
1859	2	0	1	0	28	2292	0	1	1	0
1860	2	0	1	0	28	2292	0	1	1	0
1861	2	0	1	0	28	2292	0	1	1	0
1862	2	0	1	0	28	2292	0	1	1	0
1863	2	0	1	0	28	2292	0	1	1	0
1864	2	0	1	0	28	2292	0	1	1	0
1865	2	0	1	0	28	2292	0	1	1	0
1866	2	0	1	0	28	2292	0	1	1	0
1867	2	0	1	0	28	2292	0	1	1	0
1868	2	0	1	0	28	2292	0	1	1	0
1869	2	0	1	0	28	2292	0	1	1	0
1870	2	0	1	0	28	2292	0	1	1	0
1871	2	0	1	0	28	2292	0	1	1	0
1872	2	0	1	0	28	2292	0	1	1	0
1873	2	0	1	0	28	2292	0	1	1	0
1874	2	0	1	0	28	2292	0	1	1	0
1875	2	0	1	0	28	2292	0	1	1	0
1876	2	0	1	0	28	2292	0	1	1	0
1877	2	0	1	0	28	2292	0	1	1	0
1878	2	0	1	0	28	2292	0	1	1	0
1879	2	0	1	0	28	2292	0	1	1	0
1880	2	0	1	0	28	2292	0	1	1	0
