Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.104s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
84.00	7.21	6.61	0.00	0.16	2.33	0.14	0.00	0.00	0.45	1.17	1.84	0.00	0.14	0.00	0.92	0.00	0.00	0.53	0.99	0.00	0.00	0.99	0.00
85.00	7.20	6.59	0.00	0.00	2.89	2.03	0.00	0.00	0.49	1.04	0.00	0.00	0.16	0.00	0.65	0.00	0.00	0.44	0.22	0.00	0.00	2.24	0.00
86.00	7.21	6.61	0.00	0.00	1.48	0.95	0.00	0.00	0.91	0.89	0.89	3.49	0.00	0.00	0.01	0.00	0.00	0.31	0.00	0.00	0.01	0.75	0.00
87.00	7.20	6.59	0.00	0.00	0.00	0.11	0.00	0.08	1.98	0.29	1.05	2.90	0.26	0.01	0.89	0.00	0.00	0.00	1.65	0.00	0.00	0.09	0.00
88.00	7.20	6.61	0.00	0.00	0.00	0.19	0.00	1.25	0.00	0.00	0.00	0.38	0.00	0.00	0.12	0.00	0.00	0.00	1.17	0.34	0.00	0.00	0.00
89.00	7.21	6.59	0.00	0.00	0.00	0.37	0.00	0.00	1.50	0.49	0.00	2.71	0.49	0.00	1.93	0.00	0.00	0.00	0.04	0.05	0.00	0.00	0.00
90.00	7.20	6.61	0.00	0.00	0.00	1.07	0.00	0.07	0.49	0.00	0.99	1.08	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.07	0.00	0.00	0.00
91.00	7.21	6.59	0.00	0.00	0.99	1.66	0.00	1.26	2.30	0.00	0.00	0.97	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.49	0.28	1.33	0.00
92.00	7.20	6.61	0.00	0.00	2.50	3.00	0.00	1.37	3.90	1.37	0.18	3.01	0.22	0.74	1.20	0.00	0.00	0.00	2.74	0.00	0.28	0.89	0.00
93.00	7.21	6.59	0.00	0.00	0.49	1.30	0.00	1.73	2.58	2.05	0.00	0.00	0.52	0.00	1.08	0.00	0.00	0.00	0.77	0.00	0.00	1.07	0.00
