Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.138s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
53.00	8.10	6.61	5.70	0.00	0.09	0.00	1.47	0.00	1.13	0.00	0.26	3.09	0.00	0.05	0.00	0.05	0.84	0.00	0.00	0.45	0.05
54.00	8.10	6.59	5.70	1.22	0.00	0.00	1.98	0.00	0.00	0.00	0.99	0.41	0.00	0.79	0.00	0.02	0.00	1.35	1.28	0.00	1.04
55.00	8.10	6.59	5.70	0.00	0.00	0.00	1.92	0.00	1.41	0.00	0.26	0.00	0.00	0.61	0.00	0.18	0.00	0.59	0.00	0.00	0.38
56.00	8.10	6.61	5.70	3.32	0.58	0.00	0.00	0.00	0.00	0.00	2.17	0.89	0.00	0.00	0.00	1.39	0.00	0.67	1.53	2.66	0.08
57.00	8.10	6.59	5.70	0.11	0.14	0.00	0.49	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.49	0.00	0.14	0.00	1.77	3.04
58.00	8.09	6.61	5.71	2.78	0.55	0.00	0.02	0.00	0.16	0.00	0.00	0.66	0.00	0.49	0.00	0.37	0.81	1.91	0.45	0.01	0.24
59.00	8.10	6.59	5.70	0.52	0.07	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.75	1.32	0.00	0.09	1.13	0.27
60.00	8.10	6.61	5.70	6.02	0.32	0.00	3.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	0.68	1.37	0.99	0.52	0.00
61.00	8.10	6.59	5.70	0.45	0.31	0.00	2.58	0.00	0.00	0.00	0.21	2.45	0.00	0.00	0.00	0.49	0.00	0.84	1.37	0.49	1.39
62.00	8.10	6.61	5.70	0.00	0.05	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00	2.78	1.33	0.00	1.18
63.00	8.10	6.59	5.70	1.38	0.41	0.00	1.26	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.81	0.44	2.80	2.56	1.21	0.87
64.00	8.09	6.61	5.70	1.99	0.16	0.00	2.90	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.29	0.20	0.24	1.19	0.00	0.00
65.00	8.10	6.59	5.70	1.25	0.21	0.00	3.11	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	3.71	1.60	0.00	2.12	0.44	1.48
66.00	8.10	6.61	5.70	3.30	1.06	0.00	2.94	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	2.48	2.99	3.03	0.09	0.01	0.00
67.00	8.10	6.59	5.70	1.28	2.19	0.00	0.00	0.00	0.99	0.00	0.86	0.24	0.00	0.00	0.00	0.49	0.00	1.58	0.00	1.01	0.92
68.00	8.10	6.59	5.70	0.00	0.00	0.00	0.24	0.00	0.49	0.00	0.64	1.77	0.00	0.00	0.00	0.47	0.00	0.78	0.00	0.33	0.00
69.00	8.10	6.61	5.70	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.29	0.00	0.49	0.00	0.49	0.04
70.00	8.09	6.59	5.70	0.49	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.49	0.99	0.00	0.00
71.00	8.10	6.61	5.70	2.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	1.52	0.00	1.97	0.00	1.79	0.49
72.00	8.10	6.59	5.70	1.60	0.22	0.00	1.59	0.00	0.02	0.00	1.17	0.48	0.00	0.00	0.00	0.01	0.00	2.79	2.91	1.27	2.14
73.00	8.10	6.61	5.70	3.16	0.64	0.00	1.98	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.19	1.74	0.02
74.00	8.10	6.59	5.70	0.00	0.42	0.00	0.04	0.00	0.00	0.00	1.35	0.40	0.00	0.00	0.00	0.00	0.74	1.38	0.04	0.49	0.00
75.00	8.10	6.61	5.70	0.00	0.68	0.00	1.06	0.00	0.00	0.00	0.45	1.97	0.00	0.19	0.00	0.00	2.04	0.99	0.00	1.42	0.31
76.00	8.09	6.59	5.70	0.75	0.66	0.00	2.80	0.00	1.71	0.00	0.00	0.49	0.00	0.13	0.00	1.65	0.00	0.75	2.70	2.27	1.31
77.00	8.10	6.61	5.70	0.49	0.52	0.00	0.75	0.00	0.99	0.00	0.15	0.00	0.00	1.38	0.00	0.00	0.00	0.49	0.00	0.49	1.44
78.00	8.10	6.59	5.70	0.02	0.35	0.00	0.00	0.00	0.00	0.00	2.56	0.00	0.00	1.98	0.00	0.00	2.47	0.00	1.57	0.00	0.69
79.00	8.10	6.61	5.70	2.41	0.02	0.00	0.00	0.00	1.51	0.00	0.21	0.49	0.00	0.00	0.00	0.00	0.69	1.71	0.05	0.24	1.10
80.00	8.10	6.59	5.70	3.80	0.48	0.00	3.79	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.99	0.42	0.75	0.87	0.00	0.66
81.00	8.10	6.59	5.70	1.18	0.55	0.00	1.85	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.99	0.69	0.00	0.49	0.49	0.00
82.00	8.10	6.61	5.70	0.81	1.44	0.00	0.00	0.00	0.99	0.00	1.95	1.10	0.00	0.00	0.00	0.00	0.12	0.07	2.48	0.00	1.19
83.00	8.09	6.59	5.70	3.53	0.82	0.00	2.04	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	1.48	0.00	2.13	0.99	0.00	0.00
84.00	8.10	6.61	5.70	0.52	0.38	0.00	0.24	0.00	0.54	0.00	0.00	1.37	0.00	0.00	0.00	0.51	0.00	1.31	1.73	1.60	1.52
85.00	8.10	6.59	5.70	0.58	0.24	0.00	1.39	0.00	0.99	0.00	0.51	0.24	0.00	0.01	0.00	1.13	0.75	1.48	2.65	0.00	2.90
86.00	8.10	6.61	5.71	0.38	0.27	0.00	1.37	0.00	0.00	0.00	0.99	1.01	0.00	0.00	0.00	0.84	0.00	1.55	0.00	0.45	1.34
