Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.363s)
CreateVariables () DONE !!!
Creating 27 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
48.00	0.00	0.00	0.00	0.35	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00
49.00	0.00	0.00	0.00	1.85	1.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.31
50.00	0.00	0.00	0.00	1.85	1.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31
51.00	0.00	0.00	0.00	1.59	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.21
52.00	0.00	0.00	0.00	1.48	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.00
53.00	0.00	0.00	0.00	1.04	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.61
54.00	0.00	0.00	0.00	1.85	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00
55.00	0.00	0.00	0.00	1.72	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.51	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00	1.61
57.00	0.00	0.00	0.00	2.26	2.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	2.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.00
