Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.671s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
67.00	2.50	2.50	2.50	0.00	1.89	0.17	1.51	0.40	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.46
68.00	2.50	2.50	2.50	0.00	0.06	0.00	1.25	1.17	0.69	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.29	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00
69.00	2.50	2.50	2.50	0.00	0.92	0.00	2.48	1.62	0.15	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.99	0.15
70.00	2.50	2.50	2.50	0.00	0.42	0.00	0.02	2.49	0.24	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.47	0.00
71.00	2.50	2.50	2.50	0.00	0.38	0.00	1.45	0.62	0.00	0.53	0.00	0.22	0.00	0.00	0.00	1.60	0.00	0.02	0.15	0.00	0.00	0.00	0.00	0.84	0.00	0.65
72.00	2.49	2.49	2.49	0.00	0.00	0.00	0.61	0.00	0.15	2.29	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87
73.00	2.50	2.50	2.50	0.00	0.00	0.00	0.24	0.00	0.83	0.00	0.00	0.01	0.00	0.00	0.00	0.70	0.00	0.35	0.28	0.00	0.00	0.00	0.00	0.00	0.43	0.04
74.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.11	0.72	0.07	0.00	0.45	0.00	0.00	0.00	0.00	0.00	1.24	2.46	0.00	0.00	0.00	0.00	0.00	0.00	0.19
75.00	2.50	2.50	2.50	0.00	0.00	0.00	0.27	0.23	0.02	0.41	0.00	0.74	0.00	0.00	0.00	0.09	0.00	1.12	1.42	0.00	0.00	0.00	0.00	0.52	0.07	0.30
76.00	2.50	2.50	2.50	0.00	0.54	0.00	0.03	2.31	0.72	0.00	0.00	2.12	0.00	0.00	0.00	0.16	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.06	1.17	0.00
77.00	2.49	2.49	2.49	0.00	0.00	0.00	0.52	1.59	1.49	0.45	0.00	0.04	0.00	0.00	0.00	0.47	0.00	0.04	0.28	0.00	0.00	0.00	0.00	0.00	1.01	0.11
78.00	2.50	2.50	2.50	0.00	2.02	0.00	0.10	0.10	0.28	0.42	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.80	1.02
79.00	2.50	2.50	2.50	0.00	1.32	0.00	0.23	1.23	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.46	0.00	0.30	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.55
80.00	2.50	2.50	2.50	0.00	1.27	0.00	0.38	0.06	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	1.02	0.15	0.00	0.00	0.00	0.00	0.00	0.00	2.51
81.00	2.50	2.50	2.50	0.00	0.00	0.00	0.60	1.01	1.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.96
82.00	2.50	2.49	2.49	0.00	0.06	0.35	1.73	0.46	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
83.00	2.49	2.50	2.50	0.00	0.07	0.00	0.64	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.45
84.00	2.50	2.50	2.50	0.00	0.08	0.00	0.98	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.17	0.45	0.00	0.00	0.00	0.00	0.00	0.00	1.12
85.00	2.50	2.50	2.50	0.00	1.67	0.00	2.04	0.03	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00
86.00	2.50	2.50	2.50	0.00	0.83	0.00	0.00	0.07	0.00	0.09	0.00	0.16	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
87.00	2.50	2.50	2.50	0.00	1.05	0.00	0.00	1.24	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.13
88.00	2.49	2.49	2.49	0.00	0.36	0.00	0.00	1.24	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.15	2.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00
89.00	2.50	2.50	2.50	0.00	0.00	0.00	2.53	0.00	0.00	0.83	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00
90.00	2.50	2.50	2.50	0.00	2.25	1.08	0.00	0.00	0.13	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.59
91.00	2.50	2.50	2.50	0.00	0.00	0.00	0.54	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.19	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00
92.00	2.50	2.50	2.50	0.00	0.00	0.26	2.37	0.07	0.07	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.13	0.00	0.00	0.00	0.00	0.00	0.00	1.37
93.00	2.49	2.49	2.49	0.00	0.00	0.41	0.88	1.29	0.29	0.06	0.00	0.86	0.00	0.00	0.00	0.27	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.06
94.00	2.50	2.50	2.50	0.00	0.00	0.00	0.13	0.20	0.09	0.19	0.00	0.36	0.00	0.00	0.00	2.37	0.00	0.00	0.93	0.00	0.00	0.00	0.00	0.11	0.00	0.80
95.00	2.50	2.50	2.50	0.00	0.00	0.01	0.04	0.39	1.20	0.14	0.00	0.38	0.00	0.00	0.00	0.28	0.00	0.90	1.57	0.00	0.00	0.00	0.00	0.08	0.00	0.07
96.00	2.50	2.50	2.50	0.00	0.00	0.00	0.07	0.57	0.00	0.49	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	1.23	0.00	0.03
97.00	2.50	2.50	2.50	0.00	0.09	0.16	0.00	0.24	1.18	1.61	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.14
98.00	2.50	2.50	2.50	0.00	0.00	1.04	0.35	0.30	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.12	1.15	0.00	0.00	0.00	0.00	0.72	0.00	0.00
99.00	2.49	2.49	2.49	0.00	0.00	0.00	0.50	1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	1.29	0.00	0.00	0.00	0.00	0.00	0.83	0.00	0.12
100.00	2.50	2.50	2.50	0.00	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.96	0.00	0.00	0.00	0.00	0.00	0.00	1.11
101.00	2.50	2.50	2.50	0.00	0.01	0.09	2.57	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28
