Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.633s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
60.00	4.99	4.99	4.99	0.00	1.25	1.32	0.00	4.52	0.00	0.00	0.00	0.00	0.49	0.00	0.00	3.20	0.00	0.00	0.00	0.00	0.00	4.20	0.00	0.00	2.00	0.79
61.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.78
62.00	5.00	5.00	5.00	0.00	1.34	0.34	0.00	0.49	0.00	0.00	0.00	0.00	0.57	0.00	0.00	2.80	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	2.79	0.42
63.00	4.99	4.99	4.99	0.00	0.74	0.46	0.00	0.49	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	2.93	0.00	0.00	0.25	0.66
64.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.78	0.00	0.00	0.00	0.00	1.66	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.67	0.16
65.00	4.99	4.99	4.99	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.16	0.55
66.00	5.00	5.00	5.00	0.00	0.84	0.00	0.00	3.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	3.32	0.00	0.00	0.45	0.21
67.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	4.99	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	5.30	0.00	0.00	0.00	2.70
68.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.20	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	1.05
69.00	5.00	5.00	5.00	0.00	0.77	0.00	0.00	0.33	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82
70.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41
71.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.49
72.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
73.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	2.36	0.00	0.00	0.00	0.00	2.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66
74.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	2.36
75.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58
76.00	5.00	5.00	5.00	0.00	0.00	0.04	0.00	2.34	0.00	0.00	0.00	0.00	0.79	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.61	2.12
77.00	5.00	5.00	4.99	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	5.92	0.00	0.00	0.22	3.17
78.00	4.99	4.99	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	2.17	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	4.19	0.00	0.00	0.07	0.20
79.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	3.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00
80.00	4.99	4.99	4.99	0.00	3.29	0.00	0.00	1.33	0.00	0.00	0.00	0.00	1.01	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	2.12	0.49
81.00	5.00	5.00	5.00	0.00	1.32	0.00	0.00	5.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	1.19	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.60	0.32
82.00	4.99	4.99	4.99	0.00	2.06	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	4.05	0.00	0.00	0.35	0.00
83.00	5.00	5.00	5.00	0.00	0.21	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.45	0.29
84.00	5.00	5.00	5.00	0.00	3.33	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.81	0.00	0.00	0.00	0.00	0.00	4.50	0.00	0.00	0.01	3.20
85.00	4.99	4.99	4.99	0.00	0.62	0.09	0.00	2.85	0.00	0.00	0.00	0.00	0.51	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	2.79
86.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00	0.00	0.35	0.00	0.00	2.31	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	1.84	0.38
87.00	4.99	4.99	4.99	0.00	3.16	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	4.09	0.00	0.00	0.00	0.25
88.00	5.00	5.00	5.00	0.00	2.97	0.01	0.00	2.87	0.00	0.00	0.00	0.00	1.01	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	4.42	0.00	0.00	0.41	0.00
89.00	5.00	5.00	5.00	0.00	0.81	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.89	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00	4.99	0.00	0.00	3.09	0.28
90.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	4.22	0.00	0.00	0.00	0.00	0.01	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	2.43	0.00	0.00	1.66	0.73
91.00	5.00	5.00	5.00	0.00	0.00	0.28	0.00	2.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	1.13	1.14
92.00	4.99	4.99	4.99	0.00	1.46	0.13	0.00	2.99	0.00	0.00	0.00	0.00	0.47	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	0.74	0.00	0.00	0.20	1.41
93.00	5.00	5.00	5.00	0.00	0.73	1.15	0.00	0.99	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.22	0.32
94.00	5.00	5.00	5.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00
95.00	4.99	4.99	4.99	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65
96.00	5.00	5.00	5.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.06	0.13
97.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	3.82	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	2.03
98.00	5.00	5.00	5.00	0.00	0.16	0.00	0.00	5.00	0.00	0.00	0.00	0.00	3.57	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.01	1.42
99.00	5.00	5.00	5.00	0.00	0.11	0.01	0.00	2.54	0.00	0.00	0.00	0.00	2.03	0.00	0.00	2.51	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.99
100.00	4.99	4.99	4.99	0.00	1.66	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.71	0.00	0.00	2.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.48
101.00	5.00	5.00	5.00	0.00	0.88	0.00	0.00	1.24	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	1.05	0.00	0.00	0.00	0.00
102.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06	0.00	0.00	0.00	0.00
103.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.01
104.00	5.00	4.99	5.00	0.00	0.15	0.01	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.66	0.00	0.00	0.00	1.48
105.00	4.99	5.00	4.99	0.00	0.34	0.00	0.00	2.73	0.00	0.00	0.00	0.00	0.07	0.00	0.00	3.03	0.00	0.00	0.00	0.00	0.00	3.04	0.00	0.00	0.00	1.08
106.00	5.00	5.00	5.00	0.00	0.59	0.00	0.00	0.94	0.00	0.42	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.48	0.91	0.00	1.61	0.05	0.00
107.00	4.99	4.99	4.99	0.14	0.12	0.00	0.00	0.95	0.00	0.00	0.00	1.17	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.97	0.00	2.07	0.00	1.14
108.00	5.00	5.00	5.00	0.02	0.00	0.33	0.00	1.02	0.12	0.00	0.00	0.00	0.16	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	1.06	0.00	0.24	0.00	0.37
109.00	4.99	4.99	4.99	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.44	0.00	0.00	0.00	0.00
110.00	5.00	5.00	5.00	0.00	0.04	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06	0.00	1.10	0.00	0.40
