Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.111s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
108.00	7.80	7.21	6.61	2.89	0.04	0.00	3.51	3.18	2.16	3.06	0.49	1.94	1.78	0.55	3.59	0.49	2.51
109.00	7.81	7.20	6.59	2.45	0.00	0.00	0.00	2.41	0.00	1.88	0.26	0.49	0.49	0.00	0.00	0.24	0.35
110.00	7.80	7.21	6.61	4.43	1.17	0.00	2.63	0.52	0.00	0.49	0.00	0.00	0.00	0.00	3.63	0.01	0.49
111.00	7.81	7.20	6.59	2.31	2.17	0.00	0.00	0.00	0.00	3.98	0.99	1.85	0.00	0.00	1.70	1.12	3.32
112.00	7.80	7.20	6.61	2.10	0.42	0.00	2.32	0.11	0.00	1.47	1.30	1.22	1.86	0.04	0.38	0.22	2.01
113.00	7.80	7.21	6.59	1.47	0.31	0.00	1.17	0.00	0.99	0.00	2.37	0.00	0.00	0.64	2.70	2.52	2.36
114.00	7.81	7.20	6.61	1.30	1.61	0.00	0.00	0.00	0.00	0.00	0.49	2.86	0.00	0.45	0.26	0.00	0.99
115.00	7.80	7.21	6.59	0.16	0.82	0.00	1.77	0.00	0.75	0.00	0.42	0.27	0.00	0.33	0.55	0.00	2.13
116.00	7.80	7.20	6.61	3.05	0.00	0.00	0.00	0.49	0.00	1.38	1.87	0.95	0.00	0.52	1.51	0.00	2.18
117.00	7.81	7.20	6.59	1.30	0.00	0.00	1.14	0.00	0.00	1.71	0.66	0.75	0.19	0.52	1.21	0.00	0.75
118.00	7.80	7.21	6.61	2.89	0.00	0.49	3.21	6.34	0.16	0.49	1.26	0.00	2.93	0.66	0.00	0.31	0.62
119.00	7.80	7.20	6.59	0.27	1.27	0.00	1.47	1.86	0.02	3.01	0.99	0.59	0.00	0.52	0.75	1.66	2.28
10.2.1.2	7.95	8.14
10.2.1.3	7.34	8.99
10.2.1.4	6.73	8.88
10.1.1.4	1.53	345016.76
10.1.1.5	0.51	565604.62
10.1.1.6	0.05	1003801.52
10.1.1.7	0.79	370751.48
10.1.1.8	0.83	239404.15
10.1.1.9	0.41	603501.11
10.1.1.10	0.92	503952.37
10.1.1.11	0.64	675058.74
10.1.1.12	0.63	468200.70
10.1.1.13	0.59	417996.52
10.1.1.14	0.26	669638.97
10.1.1.15	0.95	513353.54
10.1.1.16	0.57	496582.83
10.1.1.17	1.05	366890.51
