Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.095s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
51.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.46	0.60	0.00	0.11	0.00	0.00	0.57	0.00	0.00	0.02	0.49
52.00	6.30	6.30	6.30	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	1.83	0.66	0.00	1.48	0.75	0.00	1.33	0.00	0.49
53.00	6.30	6.30	6.30	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.31	0.00	0.00	0.00	0.54	0.00	0.69	0.00	0.00
54.00	6.30	6.30	6.30	0.00	0.00	0.00	0.22	0.00	0.28	0.00	0.54	0.54	0.00	0.00	0.19	0.00	0.33	1.60	0.00	0.00	0.09	0.00	0.75	0.00	2.26
55.00	6.30	6.30	6.30	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.06	0.00	2.66	0.00	0.00	0.00	0.25	0.00	1.15	0.00	1.61
56.00	6.30	6.30	6.30	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.68	0.49	0.00	0.00	1.46	2.27	0.77	1.47	0.00	0.00	1.13	0.55	1.63	0.00	0.65
57.00	6.30	6.30	6.30	1.38	0.00	0.00	0.20	0.00	0.00	0.00	0.26	0.00	0.00	0.00	1.35	1.33	0.33	0.00	0.00	1.01	0.38	0.47	1.33	0.00	1.61
58.00	6.30	6.30	6.30	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	1.06	1.04	0.00	0.00	0.00	0.42	0.27	0.00	0.15	0.19
59.00	6.30	6.30	6.30	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	1.52	0.14	0.00	0.00	0.00	0.52	0.00	0.00	0.21	1.59
60.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00
61.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00
62.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.26	0.00	0.02	0.00	0.00	0.31	0.00	0.00	0.00	0.49
63.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.05	0.00	1.73	0.00	1.48
64.00	6.30	6.30	6.30	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.18	0.00	0.34	0.00	0.00
65.00	6.30	6.30	6.30	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.00	1.30
66.00	6.30	6.30	6.30	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.61	0.00	0.00	0.00	0.00	2.57	0.00	3.20
67.00	6.30	6.30	6.30	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.28	0.00	1.58	0.00	0.45
68.00	6.30	6.30	6.30	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.04	0.49	0.00	0.00	0.42	0.00	1.37	0.00	0.49
69.00	6.30	6.30	6.30	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.41	0.00	2.58
70.00	6.30	6.30	6.30	0.04	0.00	0.00	1.20	0.00	0.73	0.00	0.09	0.00	0.00	0.00	1.63	0.11	1.52	0.00	0.00	0.00	0.31	0.05	0.49	0.00	2.41
71.00	6.30	6.30	6.30	1.55	0.00	0.00	2.20	0.00	1.30	0.00	0.24	0.34	0.00	0.00	1.81	0.99	0.91	1.83	0.00	0.00	0.09	0.00	0.99	0.00	1.44
72.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.04	0.19	0.00	0.00	0.00	0.35
73.00	6.30	6.30	6.30	0.02	0.00	0.00	0.00	0.00	2.90	0.00	0.15	0.42	0.00	0.00	0.75	0.00	3.03	0.57	0.00	0.00	0.44	0.00	1.41	0.00	0.99
74.00	6.30	6.29	6.30	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.49
75.00	6.29	6.30	6.29	0.00	0.00	0.00	2.44	0.00	0.49	0.00	0.02	0.74	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	1.38	0.00	1.63
76.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.14	0.00	0.00	0.49	0.19	0.00	2.51	0.00	1.30	0.00	0.12	0.00	0.00	0.00
77.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.00	6.30	6.30	6.30	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.01	0.00	0.00	0.37	0.00	0.00	0.12	0.00	0.64	0.00	0.00	0.49	0.00	0.99
79.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.41	0.00	0.00	0.00	0.00	2.04	1.33	0.00	0.87	0.00	0.00	0.00	0.00	0.00
81.00	6.30	6.30	6.30	1.31	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	1.59	0.00	2.07	0.00	0.00	0.49	0.00	0.00
82.00	6.30	6.30	6.30	2.68	0.00	0.00	0.75	0.00	0.00	0.00	0.57	0.24	0.00	0.00	0.00	0.99	1.98	1.33	0.00	3.34	0.02	0.00	3.50	0.00	0.00
83.00	6.30	6.30	6.30	0.78	0.00	0.00	0.99	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.49	0.00	0.00	0.89	0.00	2.04	0.54	0.00	1.91	0.06	0.80
84.00	6.30	6.30	6.30	2.11	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.35	0.00	1.15	0.21	0.00	0.00	0.00	0.49
85.00	6.30	6.30	6.30	0.87	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.00	1.22	0.00	0.00	0.00	0.85	0.00	1.74	0.00	0.00
86.00	6.30	6.30	6.30	0.00	0.00	0.00	1.44	0.00	1.30	0.00	0.99	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.61	1.11	0.00	0.00	0.00	1.54
87.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.07	0.67	0.00	0.00	0.00	0.00
88.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.16	0.00	0.00	0.00	0.55	0.00	3.12	0.00	0.00	0.45	0.26	0.00	0.57	0.00	0.00
89.00	6.30	6.30	6.30	0.00	0.00	0.00	1.98	0.00	1.95	0.01	0.84	0.00	0.00	0.00	0.68	0.05	2.17	0.00	0.00	0.99	0.89	0.00	1.44	0.45	1.71
90.00	6.30	6.30	6.30	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.21	1.14	0.00	0.00	1.48	0.00	3.63	2.19	0.00	0.09	0.66	0.00	0.00	0.00	0.00
91.00	6.30	6.30	6.30	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	1.74	0.00	1.22	0.00	0.00	1.11	0.86	0.00	0.00	0.00	0.00
92.00	6.30	6.30	6.30	0.99	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.38	0.00	0.00	0.00	0.00
93.00	6.30	6.30	6.30	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.49	1.72	0.00	0.47	0.61	0.00	2.08	0.00	0.00
94.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.27	0.49	0.00	0.19	0.57	0.00	0.00	0.00	0.00
95.00	6.30	6.30	6.30	0.20	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.53	1.52	0.00	0.00	0.25	0.00	0.00	0.00	0.00
96.00	6.30	6.30	6.30	0.49	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.07	0.00	0.00	2.33	0.00	1.88	1.33	0.00	1.51	0.38	0.00	2.24	0.00	2.66
97.00	6.30	6.30	6.30	0.45	0.00	0.00	1.75	0.00	0.59	0.00	0.00	0.00	0.00	0.00	1.27	0.00	2.53	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.49
98.00	6.30	6.30	6.30	1.25	0.00	0.00	0.71	0.00	1.54	0.00	0.00	0.14	0.00	0.00	0.00	0.00	1.45	1.06	0.00	1.24	0.71	0.00	2.17	0.00	2.31
99.00	6.30	6.30	6.30	0.05	0.00	0.00	1.53	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.99	0.13	0.97	0.47	0.00	0.00	1.20	0.08	1.25	0.09	1.11
100.00	6.30	6.30	6.30	1.87	0.00	0.00	1.88	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.66	0.00	2.28	0.00	0.00	1.40	0.31	0.00	2.16	0.00	1.41
101.00	6.30	6.30	6.30	0.02	0.00	0.00	1.54	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.59	1.37	3.30	0.00	0.00	0.49	0.97	0.00	0.00	0.07	1.72
102.00	6.30	6.30	6.30	0.07	0.00	0.00	0.25	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	1.52	2.54	0.00	0.00	0.26	1.20	0.00	2.03	1.01	0.21
103.00	6.30	6.30	6.30	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.49	0.00	0.00	1.25	0.00	2.08	1.79	0.00	1.05	0.92	0.00	0.05	0.00	1.71
104.00	6.30	6.30	6.30	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.09	3.11	0.00	0.00	0.20	0.32	0.00	0.09	0.00	0.00
105.00	6.30	6.30	6.30	0.00	0.00	0.00	0.41	0.00	0.99	0.00	0.32	0.00	0.00	0.00	0.19	0.09	1.80	0.00	0.00	0.31	0.57	0.00	1.66	0.00	0.49
106.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.75	0.00	1.34
107.00	6.30	6.30	6.30	0.00	1.32	0.00	0.49	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	1.50	3.16	0.00	0.05	1.63	0.00	0.00	0.99	0.26	1.04
