Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
63.00	8.40	0.00	0.00	0.00	0.00	0.00	2.54	0.00	0.00	0.00	2.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79
64.00	8.40	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.99	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32
65.00	8.41	0.00	0.00	0.32	0.00	0.00	1.45	0.00	0.00	0.66	5.45	0.13	0.00	0.00	0.00	0.00	0.00	0.01	1.81
66.00	8.40	0.00	0.00	0.12	0.00	0.00	1.22	0.00	0.00	0.49	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.86
67.00	8.40	0.00	0.06	1.54	0.00	0.00	1.00	0.00	0.00	1.46	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67
68.00	8.41	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	2.63	2.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53
69.00	8.40	0.00	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.49	0.68	0.00	0.00	0.00	0.00	0.47	0.00	0.00	1.35
70.00	8.40	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	1.26	0.47	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.85
71.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.73	2.07	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00
72.00	8.40	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.92	2.18	0.51	0.00	0.00	0.00	0.00	0.00	0.00	1.15
