Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.444s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
60.00	7.21	6.61	0.01	1.85	5.16	5.41	0.00	0.49	4.50	1.25	0.00	5.10	0.00	2.79	1.90	1.55	1.88	0.00	2.97	1.97	0.29	2.39	0.00
61.00	7.20	6.59	0.00	3.58	0.58	5.71	0.00	0.00	0.34	5.10	0.00	5.10	0.00	0.00	4.50	4.20	3.90	0.00	3.60	0.46	2.39	2.40	0.00
62.00	7.21	6.61	3.37	1.52	0.99	0.89	0.00	3.53	4.98	4.53	0.00	0.22	0.00	2.53	4.50	2.43	0.53	0.00	3.59	1.30	1.00	1.84	0.00
63.00	7.20	6.59	4.24	0.75	1.41	5.70	0.00	4.82	4.90	2.13	0.00	0.00	0.00	4.50	4.19	2.16	1.19	0.49	2.63	0.89	1.33	2.23	0.00
64.00	7.21	6.61	3.59	0.00	5.92	5.70	0.00	1.87	5.10	1.86	0.00	0.00	0.00	4.45	4.49	3.66	0.00	0.00	0.00	1.35	0.00	1.84	0.00
65.00	7.20	6.59	1.45	0.49	3.56	5.53	0.00	2.78	4.95	2.76	0.00	0.99	0.00	3.86	2.16	0.04	0.62	0.49	0.13	0.78	0.00	2.38	0.00
66.00	7.20	6.61	0.55	2.27	2.58	5.04	0.00	1.45	4.13	0.09	0.00	0.00	0.00	4.51	0.00	3.06	0.00	0.49	3.63	1.00	0.81	1.77	0.00
67.00	7.21	6.59	2.66	2.00	0.49	4.71	0.00	2.92	4.31	0.49	0.00	1.84	0.00	4.27	1.48	1.71	1.87	0.00	3.60	0.53	1.37	0.75	0.00
68.00	7.20	6.59	0.08	0.00	1.33	6.26	0.00	1.66	2.41	4.29	0.00	5.10	0.00	4.50	3.76	2.61	3.90	0.00	3.60	1.17	0.42	1.48	0.00
69.00	7.21	6.61	3.40	0.49	1.58	2.65	0.00	5.70	0.00	2.44	0.00	5.10	0.00	4.30	2.90	4.20	2.24	1.47	3.59	0.04	0.02	2.40	0.00
