Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.907s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
89.00	6.90	2.80	0.00	5.15	2.87	1.12	0.14	1.10	2.92	0.00	0.00	1.42	1.07	1.02	0.00	2.16	0.00	1.50	2.92	0.14	1.57	2.34	0.00	0.00
90.00	6.90	2.46	0.00	1.73	1.17	1.25	0.68	4.40	5.04	0.00	0.00	0.28	5.20	2.14	0.00	3.86	0.00	2.20	2.81	0.35	2.68	2.83	0.00	0.00
91.00	6.90	2.94	0.00	4.13	1.07	0.95	0.00	2.40	1.58	0.00	0.00	0.99	1.98	3.64	0.00	1.85	0.00	1.73	1.88	0.07	2.71	1.87	0.00	0.00
92.00	6.90	2.77	0.00	5.11	1.94	0.58	1.26	3.64	1.81	0.00	0.00	0.53	0.40	3.30	0.00	3.21	0.00	3.30	1.04	0.77	2.57	2.71	0.00	0.00
93.00	6.90	3.16	0.00	2.41	3.10	1.11	2.37	0.61	2.48	0.00	0.00	0.00	0.55	1.97	0.00	2.31	0.00	2.00	0.77	0.78	2.04	0.74	0.00	0.00
94.00	6.90	0.25	0.00	7.38	0.37	2.01	1.17	4.56	1.59	0.00	0.00	0.00	0.21	0.80	0.00	4.20	0.00	1.72	2.48	0.01	2.71	2.44	0.00	0.00
95.00	6.90	0.88	0.00	0.61	0.49	1.91	2.36	3.31	1.25	0.00	0.00	0.00	0.73	2.98	0.00	2.43	0.00	0.86	0.45	0.12	0.66	1.26	0.00	0.00
96.00	6.90	1.37	0.00	0.00	1.48	1.72	1.46	4.25	4.65	0.00	0.00	0.00	2.26	3.96	0.00	3.56	0.00	1.35	1.61	1.88	3.39	2.28	0.00	0.00
97.00	6.90	1.61	0.00	6.10	4.88	0.62	1.33	3.82	0.00	0.00	0.01	1.27	1.21	1.51	0.00	1.86	0.00	1.39	2.85	0.94	2.71	2.26	0.00	0.00
98.00	6.89	5.09	0.00	5.97	5.44	2.30	2.84	1.02	1.97	0.00	0.00	2.20	1.45	2.65	0.00	2.07	0.00	0.71	2.58	0.74	2.70	2.59	0.00	0.00
99.00	6.90	3.47	0.00	1.90	2.45	0.24	4.05	3.31	5.35	0.00	0.00	0.49	1.66	0.65	0.00	4.22	0.00	2.14	2.06	0.00	2.68	1.80	0.00	0.00
100.00	6.90	4.50	0.00	2.32	4.47	2.76	2.84	0.79	0.72	0.00	0.00	1.72	2.24	1.46	0.00	3.10	0.00	0.78	2.57	0.93	1.46	0.58	0.00	0.00
101.00	6.90	2.89	0.00	3.43	1.48	4.66	0.87	1.93	1.22	0.00	0.00	0.97	0.44	0.46	0.00	2.78	0.00	1.52	2.56	0.71	2.32	0.62	0.00	0.00
102.00	6.90	2.50	0.00	4.72	4.26	1.84	1.44	0.80	1.50	0.00	0.00	1.48	3.44	0.00	0.00	2.28	0.00	2.63	1.70	0.01	2.21	2.31	0.00	0.00
103.00	6.90	1.92	0.00	2.23	2.71	1.88	0.00	5.70	0.98	0.00	0.00	0.94	2.43	0.42	0.00	4.43	0.00	0.74	2.40	0.00	1.60	0.82	0.00	0.00
104.00	6.90	1.44	0.00	1.66	1.77	2.13	0.00	2.18	0.62	0.00	0.00	0.98	0.58	1.13	0.00	1.78	0.00	1.34	1.05	0.00	1.44	1.92	0.00	0.00
105.00	6.90	3.44	0.00	7.47	0.14	2.93	1.35	3.67	2.03	0.00	0.00	0.79	0.87	1.59	0.00	1.91	0.00	2.45	2.48	0.13	2.37	1.21	0.00	0.00
106.00	6.90	3.03	0.00	6.58	0.99	2.50	0.48	2.26	4.75	0.41	0.77	0.91	0.09	3.49	0.00	3.00	0.00	3.04	0.89	0.00	1.08	1.37	0.40	0.00
107.00	6.90	3.04	0.00	2.87	2.74	0.13	0.71	3.29	0.39	0.04	0.38	0.37	0.46	1.08	0.04	2.48	0.00	0.78	1.28	0.04	2.06	0.93	0.19	0.00
108.00	6.90	3.71	0.00	3.09	2.25	1.14	0.57	3.03	3.29	0.00	0.00	0.35	2.20	1.08	0.00	1.83	0.00	1.73	1.58	0.22	2.08	0.97	0.41	0.00
109.00	6.90	3.10	0.00	4.04	0.46	3.97	1.67	2.27	3.82	0.00	0.08	0.67	2.19	2.06	0.00	3.09	0.00	1.58	0.35	0.64	2.01	2.26	0.13	0.00
110.00	6.90	2.92	0.00	5.11	0.24	2.91	1.24	0.18	0.49	0.00	0.34	0.62	1.72	0.65	0.00	2.04	0.00	1.57	0.64	0.05	2.36	2.06	0.26	0.00
111.00	6.90	0.00	0.00	3.26	1.60	1.21	1.95	1.79	1.65	0.00	0.98	0.00	1.04	4.44	0.00	2.13	0.00	1.93	1.14	0.14	1.67	1.26	0.46	0.00
112.00	6.90	3.82	0.67	5.42	4.43	1.41	0.11	2.08	2.60	0.00	0.00	1.92	2.47	1.86	0.00	3.33	0.00	1.46	2.36	0.11	2.28	0.28	0.00	0.00
113.00	6.90	2.71	0.97	3.92	1.44	5.64	3.63	2.47	1.41	0.00	0.41	0.64	3.11	2.81	0.00	2.87	0.00	0.33	1.31	0.31	2.48	2.00	0.21	0.00
114.00	6.89	0.89	1.72	3.82	4.03	1.15	0.05	3.34	1.53	0.19	0.14	0.12	4.19	2.20	0.00	3.86	0.00	1.66	0.18	0.47	2.57	2.71	0.07	0.00
115.00	6.90	2.58	0.99	2.91	0.00	2.71	0.60	2.13	2.50	0.77	0.48	1.66	1.74	0.78	0.00	3.13	0.00	2.57	1.67	0.00	2.66	1.81	0.24	0.00
116.00	6.90	1.02	0.00	2.10	1.48	3.51	1.40	0.00	0.91	0.27	0.25	0.26	2.64	3.16	0.00	2.38	0.00	1.19	0.24	0.00	1.70	1.11	0.13	0.00
117.00	6.90	3.92	0.00	5.20	0.00	1.93	1.21	4.82	3.86	0.80	0.00	0.49	3.38	2.80	0.08	3.42	0.00	1.74	1.20	0.62	2.70	2.50	0.08	0.00
118.00	6.90	1.80	0.00	5.06	1.42	1.64	1.39	2.43	0.53	0.00	0.25	0.00	0.32	1.84	0.00	1.34	0.00	0.86	2.12	0.49	1.60	0.62	0.16	0.00
119.00	6.90	0.38	0.00	3.92	2.73	4.12	0.24	4.72	2.40	0.58	0.59	0.20	0.89	1.10	0.00	3.25	0.00	2.52	0.25	0.01	2.51	2.11	0.60	0.00
10.2.1.2	7.03	8.65
10.1.1.2	2.87	66645.65
10.1.1.3	0.54	167580.86
10.1.1.4	4.05	38312.22
10.1.1.5	1.71	160725.60
10.1.1.6	2.13	64874.46
10.1.1.7	1.03	124779.04
10.1.1.8	2.93	46295.96
10.1.1.9	2.46	119876.78
10.1.1.10	0.10	395085.61
10.1.1.11	0.21	255548.01
10.1.1.12	0.65	218277.54
10.1.1.13	1.72	111332.76
10.1.1.14	1.94	55291.92
10.1.1.15	0.01	233724.70
10.1.1.16	2.79	23915.90
