Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.410s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
83.00	7.20	6.30	5.99	4.15	0.01	4.58	5.10	0.00	5.10	0.00	4.76	0.00	3.36	2.25	0.68	1.18	0.00	0.00	0.00	2.12	1.83	0.00	0.49	1.27	0.00
84.00	7.21	6.30	4.77	5.23	0.00	0.22	5.10	0.00	4.80	0.00	4.51	4.27	1.84	0.49	1.30	2.23	0.00	1.02	0.00	1.22	3.30	0.00	0.00	0.64	0.00
85.00	7.20	6.30	3.26	3.49	0.00	3.84	5.00	0.99	3.70	0.00	2.28	0.00	2.16	0.00	0.72	1.64	0.00	2.40	0.00	0.74	2.52	1.48	0.49	2.03	0.00
86.00	7.21	6.30	4.79	0.99	0.00	1.39	3.96	0.00	4.50	0.00	1.50	2.24	4.30	3.38	1.27	2.84	0.00	0.87	0.00	0.48	0.00	3.64	2.10	2.31	0.00
87.00	7.20	6.30	4.64	1.37	0.00	5.10	1.20	1.22	0.31	0.00	4.63	1.65	4.35	1.94	1.99	0.64	0.00	1.22	0.00	3.49	0.00	3.00	2.99	2.68	0.00
88.00	7.20	6.30	2.33	1.45	0.00	3.51	4.37	2.52	3.79	0.00	4.69	0.00	4.24	0.98	4.10	0.66	0.00	1.27	0.00	1.73	3.36	3.00	1.08	2.19	0.00
89.00	7.21	6.30	0.67	0.82	0.00	3.96	4.55	0.00	1.97	0.00	0.98	2.04	1.14	1.22	0.18	1.00	0.00	0.05	0.33	1.74	2.13	2.99	0.00	1.34	0.00
90.00	7.20	6.30	1.31	2.72	0.00	3.33	4.45	0.00	4.63	0.00	4.75	4.82	0.58	0.00	1.35	2.47	0.00	0.35	0.00	2.03	0.00	3.01	0.00	2.70	0.00
91.00	7.21	6.30	4.20	3.44	0.00	1.85	2.84	0.00	4.72	0.00	4.79	3.83	0.00	0.00	3.54	1.47	0.00	0.00	0.00	1.25	0.00	2.99	0.00	0.73	0.00
92.00	7.20	6.30	6.01	4.03	0.00	1.22	1.46	0.00	5.10	0.00	4.53	0.00	2.84	1.90	3.71	1.94	0.00	0.00	0.00	0.34	0.00	0.32	0.00	2.64	0.00
93.00	7.21	6.30	5.99	2.18	0.00	3.20	3.10	0.00	3.99	0.00	4.62	2.41	4.60	2.70	3.37	2.26	0.00	1.25	0.00	0.00	0.00	0.00	0.00	1.73	0.00
94.00	7.20	6.30	6.01	4.22	0.00	0.00	2.03	0.49	5.10	0.00	4.80	1.48	3.51	0.00	2.54	3.38	0.00	0.14	0.00	1.32	0.00	0.00	0.00	1.05	0.00
95.00	7.20	6.30	5.70	5.37	4.89	2.17	0.49	0.00	5.06	0.00	1.59	0.00	3.24	1.26	0.67	0.93	0.00	1.08	0.00	2.40	0.00	1.63	1.87	1.35	0.00
96.00	7.21	6.30	0.86	0.78	5.39	3.47	1.73	1.48	1.60	0.00	2.47	3.30	1.45	0.49	2.58	0.00	0.00	0.27	1.54	1.28	2.45	2.54	2.07	1.35	1.35
