Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.191s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
81.00	7.50	7.21	3.04	6.71	0.00	1.60	0.00	2.81	5.39	5.25	2.84	0.00	3.80	3.37	1.26	1.71	0.00
82.00	7.49	7.20	6.89	6.41	4.96	3.89	0.00	2.92	5.30	3.77	1.57	0.44	3.86	2.91	1.38	2.58	0.00
83.00	7.50	7.20	3.72	0.49	5.99	0.99	4.42	4.16	5.20	4.27	0.00	2.85	3.78	0.67	1.65	2.23	0.00
84.00	7.50	7.21	0.00	4.79	6.01	4.68	5.59	3.52	5.36	4.86	0.00	4.16	3.49	0.71	2.93	2.53	0.00
85.00	7.50	7.20	4.02	4.06	5.99	2.14	0.27	2.34	4.05	3.13	2.17	3.19	4.10	3.16	1.87	1.54	0.46
86.00	7.50	7.21	1.31	4.58	0.53	3.46	1.18	2.70	5.41	3.97	4.22	1.00	3.80	0.71	2.19	1.12	0.00
87.00	7.50	7.20	0.00	3.40	0.00	4.93	0.00	2.67	5.39	4.85	5.39	0.00	3.90	3.25	0.72	3.60	0.00
88.00	7.50	7.20	0.00	6.90	0.00	5.70	0.00	0.95	5.41	5.41	4.64	0.00	3.90	3.90	3.09	3.00	0.00
89.00	7.50	7.21	0.00	6.90	0.00	5.24	0.00	2.12	5.39	5.39	5.44	0.00	3.90	0.02	0.00	3.00	0.00
90.00	7.50	7.20	0.00	6.90	0.00	5.10	0.00	5.70	5.39	5.41	4.65	2.53	3.72	0.00	0.00	2.48	0.00
91.00	7.49	7.21	0.00	6.89	0.00	5.70	0.00	5.70	5.42	5.41	5.23	4.50	3.91	0.00	3.34	3.42	0.00
92.00	7.50	7.20	2.89	1.42	5.48	1.07	0.49	0.33	4.69	1.30	4.49	4.09	3.70	3.10	2.11	1.06	0.00
93.00	7.50	7.21	0.00	6.90	5.99	6.01	0.00	5.18	5.41	2.67	0.26	1.08	3.84	3.07	2.92	1.19	0.00
94.00	7.50	7.20	0.40	6.44	5.99	5.68	0.00	2.57	2.52	5.39	0.80	1.25	3.90	3.53	1.98	1.65	0.67
95.00	7.50	7.20	1.31	4.97	5.97	4.95	1.64	1.02	5.02	4.09	2.03	4.30	2.80	0.00	0.85	0.40	0.49
96.00	7.50	7.21	0.00	3.63	6.01	5.20	0.00	1.10	5.39	5.41	3.57	4.11	3.40	0.22	3.10	2.70	0.00
97.00	7.50	7.20	5.96	2.03	6.01	2.73	0.00	2.28	4.35	5.41	1.92	3.57	3.94	2.37	0.20	1.92	0.00
98.00	7.50	7.21	0.00	2.74	5.98	2.61	5.46	1.71	5.32	3.10	3.83	5.28	3.21	2.13	1.75	1.61	0.00
99.00	7.50	7.20	0.00	0.00	3.16	4.49	5.71	2.27	5.41	2.97	1.34	3.83	2.96	0.92	0.68	2.31	0.00
100.00	7.49	7.20	0.00	5.06	0.99	1.14	3.03	1.79	5.29	5.10	1.40	2.59	1.72	2.67	0.04	2.81	0.00
101.00	7.50	7.21	0.49	2.85	0.00	2.51	0.00	2.91	5.39	4.98	4.64	3.58	3.82	2.83	0.00	3.00	0.00
102.00	7.50	7.20	0.00	7.04	0.00	2.48	1.22	3.25	5.41	5.41	2.66	3.89	3.90	2.83	0.92	2.44	0.00
103.00	7.50	7.21	2.43	3.56	0.00	1.50	0.00	1.64	5.39	5.23	3.78	0.80	3.90	1.12	1.45	1.10	0.00
104.00	7.50	7.20	6.90	6.90	0.00	0.99	0.00	4.59	5.41	5.41	5.88	1.48	2.41	0.00	1.71	0.66	0.00
105.00	7.50	7.20	4.65	6.62	0.00	0.00	2.97	1.51	5.39	5.31	4.97	1.87	3.44	3.04	0.49	0.13	0.00
106.00	7.50	7.21	0.00	6.90	0.00	6.17	0.57	0.00	5.41	5.41	4.70	2.70	3.90	3.91	1.27	0.00	0.00
107.00	7.50	7.20	1.74	2.73	0.00	1.74	5.63	1.30	5.41	5.23	2.83	1.13	3.90	3.26	0.75	2.74	0.00
108.00	7.50	7.21	2.66	0.42	0.00	0.32	3.78	5.70	5.39	5.03	2.13	3.21	3.91	1.61	1.44	2.64	0.00
109.00	7.49	7.20	0.00	6.90	0.00	4.24	0.00	1.39	5.41	5.18	0.19	4.50	3.90	0.11	0.07	1.34	0.00
110.00	7.50	7.21	0.00	1.35	0.00	0.26	1.24	4.07	4.78	5.02	6.39	4.50	3.87	3.23	0.11	1.57	0.00
111.00	7.50	7.20	0.00	6.92	0.00	5.71	0.00	5.63	5.41	5.15	4.89	4.20	3.74	2.68	3.04	3.17	0.00
112.00	7.50	7.20	0.00	6.91	0.00	5.70	0.00	5.66	5.39	5.20	4.71	4.35	4.07	0.00	0.44	2.92	0.00
113.00	7.50	7.21	0.00	4.51	0.00	2.33	6.26	1.22	3.93	1.97	3.26	2.73	3.30	2.33	3.07	1.33	0.00
114.00	7.50	7.20	0.00	2.14	0.00	3.00	2.59	0.49	2.39	4.68	1.14	0.27	3.63	0.98	2.53	1.57	0.00
115.00	7.50	7.21	0.49	4.39	0.00	4.78	3.56	2.36	4.25	4.86	3.99	2.70	3.97	1.34	3.29	1.17	0.00
116.00	7.50	7.20	0.00	5.91	0.00	0.34	2.24	4.83	2.34	5.35	5.18	4.59	3.89	2.32	3.51	3.07	0.00
117.00	7.50	7.20	5.04	6.65	0.00	0.00	5.70	5.24	5.41	5.39	3.77	1.92	2.05	2.77	0.40	1.68	0.00
118.00	7.49	7.21	2.98	4.78	3.73	0.84	5.71	5.38	2.98	5.41	4.15	2.07	0.94	2.01	1.24	0.49	0.49
119.00	7.50	7.20	4.76	5.71	0.00	1.58	0.05	3.57	5.13	5.39	4.47	0.16	3.82	2.73	3.83	1.37	0.00
10.2.1.2	7.64	8.26
10.2.1.3	7.34	8.45
10.1.1.3	3.23	124857.42
10.1.1.4	4.30	36244.78
10.1.1.5	2.20	135736.42
10.1.1.6	3.01	67564.93
10.1.1.7	2.39	167051.00
10.1.1.8	2.81	69443.96
10.1.1.9	4.86	11004.17
10.1.1.10	4.39	39121.38
10.1.1.11	2.90	49962.16
10.1.1.12	3.22	24507.57
10.1.1.13	3.36	14318.96
10.1.1.14	2.03	44990.00
10.1.1.15	1.50	85728.95
10.1.1.16	1.97	45741.05
10.1.1.17	0.23	233076.01
