Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.558s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
59.00	6.90	6.90	6.59	5.73	6.01	0.99	1.53	0.00	4.80	4.79	4.62	0.00	4.19	3.90	0.77	3.59	0.00	0.00	2.37	2.10
60.00	6.90	6.90	6.61	4.09	6.01	3.34	2.71	0.77	4.78	4.80	4.79	0.00	0.20	3.90	0.00	3.60	0.00	0.00	2.40	2.11
61.00	6.90	6.90	6.59	0.49	5.86	6.01	4.66	0.00	4.82	4.55	3.46	0.00	0.00	3.90	3.67	3.60	0.00	0.00	1.87	2.10
62.00	6.90	6.90	6.61	0.49	5.75	5.98	5.39	0.00	4.78	4.22	0.72	0.00	0.00	1.75	0.19	3.59	0.00	0.07	0.69	2.10
63.00	6.90	6.90	6.59	5.15	6.02	6.01	5.32	1.01	4.82	4.85	0.41	0.00	0.00	3.91	0.00	3.60	0.00	0.02	1.46	2.11
64.00	6.90	6.90	6.61	0.32	5.99	5.73	0.81	4.22	4.79	4.80	0.49	5.70	1.92	3.71	3.78	3.60	0.00	0.00	3.09	2.10
65.00	6.90	6.90	6.59	4.64	4.85	3.71	1.11	0.79	4.80	4.66	3.18	4.79	0.00	3.87	0.29	3.59	0.00	0.00	2.11	2.08
66.00	6.89	6.89	6.61	6.24	5.99	5.26	2.64	0.12	4.80	4.65	4.80	4.80	0.00	3.90	0.00	3.59	0.00	0.00	2.32	2.11
67.00	6.90	6.90	6.59	4.70	5.83	5.48	0.14	0.02	4.79	4.45	4.37	4.79	0.00	3.86	0.00	3.60	0.00	0.00	0.55	2.10
68.00	6.90	6.90	6.59	3.66	5.51	4.78	2.58	0.28	4.66	0.32	4.39	4.79	0.00	3.93	0.00	3.60	0.00	0.01	2.31	2.10
69.00	6.90	6.90	6.61	4.77	5.99	4.35	4.76	0.18	4.76	1.06	4.80	4.80	0.00	3.91	0.00	3.60	0.00	0.00	2.08	2.11
70.00	6.90	6.90	6.59	3.13	5.78	4.32	2.61	1.44	4.55	1.24	4.57	4.80	0.00	3.57	2.24	3.59	0.05	0.15	1.54	2.10
71.00	6.90	6.90	6.61	1.32	5.44	4.22	5.32	1.60	4.78	1.37	1.55	0.08	0.00	2.39	0.02	2.73	0.00	0.00	1.77	2.10
72.00	6.90	6.90	6.59	0.49	5.90	2.50	5.39	1.64	4.79	4.40	1.30	3.36	0.00	3.90	0.49	3.59	0.00	0.04	1.79	2.11
73.00	6.90	6.90	6.61	0.49	4.73	5.61	5.38	0.00	4.70	4.15	3.90	4.72	0.00	3.90	2.33	3.60	0.99	0.00	2.31	2.10
74.00	6.90	6.90	6.59	1.71	4.70	3.40	4.00	3.84	4.49	1.75	1.37	0.19	0.00	3.73	0.51	2.00	0.00	0.02	1.95	1.87
75.00	6.90	6.90	6.61	4.49	5.68	4.75	3.58	2.14	4.53	4.92	3.74	0.00	0.00	3.90	0.00	1.98	0.00	0.00	2.30	2.11
76.00	6.90	6.90	6.59	5.53	0.00	5.83	2.56	4.80	4.79	2.78	0.29	0.00	0.40	3.90	0.49	4.18	0.00	2.74	2.40	2.10
77.00	6.90	6.90	6.61	5.49	0.00	5.61	2.36	0.02	4.80	4.82	4.70	0.00	0.00	3.90	0.00	3.60	0.00	0.85	2.28	2.10
78.00	6.90	6.90	6.59	4.24	7.17	5.16	5.17	2.05	4.79	4.70	3.64	0.00	0.00	3.90	0.00	3.60	0.00	0.01	2.41	2.11
79.00	6.90	6.90	6.61	1.75	5.99	6.01	5.41	0.00	4.80	4.79	3.27	0.00	0.00	3.91	0.00	3.59	0.00	0.00	2.39	2.10
80.00	6.90	6.90	6.59	5.23	6.01	3.57	1.98	0.00	4.79	4.04	2.19	0.00	0.00	3.89	0.00	3.60	0.00	0.00	2.23	2.10
81.00	6.90	6.89	6.59	5.72	5.10	2.17	5.48	0.61	4.80	4.80	4.64	0.00	0.00	3.91	0.00	3.59	0.00	0.00	2.40	2.10
82.00	6.89	6.90	6.61	0.80	0.00	6.01	5.17	0.01	4.80	4.79	4.59	0.00	0.00	3.90	0.00	3.60	0.00	0.00	2.36	2.11
83.00	6.90	6.90	6.59	2.03	2.92	4.64	5.17	0.02	4.79	3.82	3.42	0.00	0.00	3.90	0.34	3.60	0.00	0.00	2.32	2.10
84.00	6.90	6.90	6.61	6.81	6.01	5.99	5.35	0.00	4.80	5.53	4.65	0.00	0.00	3.91	0.00	3.60	0.00	0.00	2.40	2.11
85.00	6.90	6.90	6.59	4.51	5.99	4.29	4.30	1.31	4.80	3.74	4.82	0.00	0.00	3.90	1.41	3.60	0.00	0.00	1.97	2.10
86.00	6.90	6.90	6.61	4.09	6.01	2.08	0.32	0.04	4.79	3.40	4.79	0.00	0.00	3.90	0.00	2.86	0.00	0.00	2.60	2.10
87.00	6.90	6.90	6.59	1.79	5.99	5.99	3.89	0.95	4.80	4.63	4.82	0.00	0.00	3.90	0.00	3.59	0.00	0.00	2.32	2.11
88.00	6.90	6.90	6.61	4.60	3.71	5.83	2.39	0.02	2.97	4.19	4.43	0.00	0.00	3.74	1.45	2.23	0.00	0.00	2.40	1.78
89.00	6.90	6.90	6.59	1.60	4.49	1.93	0.97	0.00	3.83	3.25	0.66	4.90	3.01	2.01	3.90	4.36	0.00	0.00	2.34	1.57
90.00	6.90	6.90	6.61	3.64	6.01	0.00	5.64	0.00	2.38	5.57	5.88	4.79	4.20	0.49	3.89	3.59	0.00	0.00	2.39	0.59
91.00	6.90	6.90	6.59	3.70	4.62	0.49	3.93	0.64	1.94	4.51	1.05	4.80	4.20	3.89	2.91	3.60	0.00	0.00	1.18	1.50
92.00	6.90	6.90	6.61	5.23	0.00	5.81	2.64	0.00	4.80	1.90	3.03	4.80	4.19	3.90	1.97	0.02	0.00	0.00	2.30	2.10
93.00	6.90	6.90	6.59	3.97	4.75	2.86	4.78	0.00	4.79	3.50	4.62	4.79	4.20	3.90	0.00	0.00	0.00	0.04	1.74	2.11
94.00	6.90	6.90	6.59	0.95	6.01	2.78	1.41	0.06	4.80	0.99	3.66	4.80	3.73	3.90	0.00	0.00	0.00	0.01	2.87	2.10
95.00	6.90	6.90	6.61	5.45	5.99	0.49	0.91	0.00	4.80	0.78	1.19	4.80	0.00	3.91	0.99	0.00	0.00	0.00	2.40	2.10
96.00	6.90	6.90	6.59	6.30	6.01	0.00	0.49	1.61	4.79	0.00	3.18	4.79	0.00	3.90	0.00	0.00	0.00	0.00	2.40	2.11
97.00	6.90	6.90	6.61	5.65	5.97	4.09	0.00	4.78	4.80	3.09	1.48	4.78	0.49	3.90	0.49	3.57	0.00	0.04	2.23	1.95
98.00	6.89	6.89	6.59	2.45	0.21	2.61	1.17	0.02	4.79	4.43	5.19	4.82	0.00	3.90	0.49	3.64	0.00	0.00	2.04	2.13
99.00	6.90	6.90	6.61	6.30	0.00	5.99	2.00	0.12	4.79	4.80	4.80	4.80	0.00	3.90	0.00	3.60	0.00	0.00	0.95	2.11
100.00	6.90	6.90	6.59	4.83	0.00	2.51	4.46	0.00	4.82	4.72	4.63	4.51	2.44	3.90	2.36	3.59	0.00	0.00	1.87	2.10
101.00	6.90	6.90	6.61	4.53	0.00	4.72	3.74	0.85	4.79	0.68	2.08	4.64	4.20	2.21	1.41	0.02	0.00	0.00	2.06	2.06
102.00	6.90	6.90	6.59	5.99	1.48	5.99	5.23	0.80	4.80	1.97	2.36	4.79	4.19	3.91	3.90	0.00	0.00	0.09	0.89	2.11
103.00	6.90	6.90	6.61	5.71	0.49	6.01	5.41	0.64	4.79	1.53	4.80	4.80	4.20	3.90	3.58	0.00	0.00	0.29	0.00	2.10
104.00	6.90	6.90	6.59	0.55	0.75	5.16	4.56	0.82	4.79	0.07	4.45	4.80	4.19	3.89	0.00	0.00	0.00	0.19	2.11	2.08
105.00	6.90	6.90	6.61	0.49	0.00	6.01	4.37	0.00	4.82	3.46	4.82	4.80	4.22	3.91	0.00	2.72	0.00	0.40	2.40	2.11
