Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
80.00	7.20	6.90	1.32	1.02	1.87	5.28	5.39	2.18	3.32	0.73	0.29	0.06	0.99	0.00	0.19	1.72	2.34	0.49	2.23	2.70	1.59	0.00	0.22
81.00	7.21	6.90	0.07	0.01	0.87	1.02	0.00	0.86	4.09	2.53	0.97	0.00	3.30	0.06	0.47	2.26	2.96	1.05	2.59	2.70	1.72	0.08	1.72
82.00	7.20	6.89	5.24	0.28	0.71	2.48	1.47	2.18	4.83	3.65	2.65	1.63	0.00	0.00	0.48	0.00	2.76	0.00	2.84	2.71	2.07	0.81	1.55
83.00	7.20	6.90	0.42	0.00	3.73	4.79	0.49	3.12	4.00	0.49	2.33	3.03	2.89	0.00	0.64	0.44	1.41	0.00	2.70	2.25	1.70	0.00	1.48
84.00	7.21	6.90	1.59	0.59	4.51	0.38	4.85	3.54	1.08	0.01	1.42	1.46	3.25	0.00	1.17	0.06	3.65	1.91	2.63	2.21	1.97	0.22	1.90
85.00	7.20	6.90	3.20	0.19	0.13	0.00	3.39	2.11	2.91	1.52	1.02	3.13	4.82	0.00	1.22	0.99	2.46	1.73	3.00	1.10	0.91	0.49	1.48
86.00	7.21	6.90	2.78	3.24	3.42	0.66	3.09	2.03	4.80	1.54	1.50	1.25	4.80	0.00	0.15	0.40	1.11	0.02	3.00	0.75	2.00	0.04	1.78
87.00	7.20	6.90	0.67	0.00	3.09	1.59	0.84	1.27	5.11	0.00	0.00	0.92	4.80	0.00	0.00	3.90	1.64	0.00	1.27	1.08	1.68	0.00	1.35
88.00	7.20	6.90	0.64	1.45	4.70	1.98	1.98	2.47	1.75	0.74	1.19	1.05	2.70	0.00	1.01	3.84	3.21	0.11	2.53	2.19	1.68	0.22	1.78
89.00	7.21	6.90	2.97	0.72	2.94	0.00	0.00	4.22	3.11	1.70	1.94	0.00	0.00	0.00	0.22	3.89	2.28	0.00	3.00	2.19	1.93	0.34	1.81
