Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.634s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
81.00	8.10	6.59	0.99	0.97	5.69	0.00	0.80	1.14	0.00	3.87	3.04	3.90	0.69	3.60	2.39	2.26	1.46	3.30	2.14	1.83	2.71
82.00	8.10	6.61	1.61	0.68	2.97	0.01	0.00	4.65	0.00	3.45	2.12	3.86	1.12	2.71	0.78	0.00	3.32	1.84	1.95	0.99	2.70
83.00	8.09	6.59	6.14	1.00	1.95	0.08	1.48	4.53	0.00	0.00	4.20	3.90	0.00	3.57	0.00	3.39	3.60	0.00	3.30	0.49	2.70
84.00	8.10	6.61	4.11	4.65	0.87	0.33	0.00	4.43	0.52	0.00	4.13	3.91	2.07	3.59	4.06	3.59	3.49	0.00	3.30	1.46	2.70
85.00	8.10	6.59	3.72	2.76	4.11	0.00	3.71	2.01	0.00	0.99	2.47	3.56	1.54	3.01	2.63	3.33	3.29	3.66	2.10	3.18	2.48
86.00	8.10	6.61	1.95	0.53	0.25	0.32	0.00	2.70	0.00	2.13	2.38	3.70	0.48	3.01	3.66	1.20	1.98	3.19	2.40	2.87	2.52
87.00	8.10	6.59	0.00	1.86	2.04	2.06	0.49	0.16	0.55	0.52	2.01	3.90	0.04	3.60	3.40	3.60	3.62	3.30	2.10	2.03	2.68
88.00	8.10	6.61	0.00	1.81	2.16	1.73	1.63	4.15	0.00	0.00	1.30	3.90	0.00	3.60	2.41	3.60	3.47	3.30	2.98	2.59	2.73
89.00	8.09	6.59	1.38	0.00	0.62	1.53	4.69	3.03	0.00	4.59	0.99	3.90	0.09	3.38	3.42	1.92	3.59	3.30	3.29	2.90	2.70
90.00	8.10	6.61	4.10	1.99	5.10	0.00	2.24	2.08	0.00	2.99	2.93	2.94	0.32	3.47	2.96	3.34	3.47	3.31	3.31	1.35	2.32
91.00	8.10	6.59	3.79	2.89	5.06	0.00	0.00	4.50	0.00	0.00	3.51	2.50	0.00	3.60	3.40	3.45	3.46	3.30	2.90	2.25	2.70
92.00	8.10	6.61	2.79	4.09	3.94	0.00	0.49	4.75	0.00	0.00	3.29	2.93	0.00	3.51	2.73	3.32	0.49	3.30	3.06	3.29	2.57
93.00	8.10	6.59	0.99	3.23	1.00	0.55	0.99	4.58	0.53	0.99	3.49	3.90	0.32	3.50	2.13	2.41	1.04	3.30	3.30	3.11	2.57
94.00	8.10	6.59	0.49	3.20	0.00	0.12	2.53	4.10	0.05	2.59	2.31	3.91	2.67	3.60	0.19	3.74	1.99	2.36	3.30	3.26	2.73
95.00	8.09	6.61	1.47	0.97	2.83	0.00	0.00	4.52	0.00	4.53	1.74	3.73	0.13	3.60	0.00	3.46	2.25	0.00	3.07	0.00	2.71
