Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.388s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
91.00	7.80	4.03	5.57	2.36	0.00	2.67	0.34	4.83	3.33	3.74	1.51	3.58	0.00	3.31	1.66	1.27	0.53	2.80	1.02
92.00	7.81	0.05	3.51	4.26	0.07	4.58	1.24	4.30	0.32	1.46	2.63	4.13	0.88	2.52	1.04	0.95	0.86	1.46	0.87
93.00	7.80	2.92	6.18	6.14	0.21	1.87	1.24	5.84	2.58	0.00	1.53	5.25	0.00	1.15	1.30	1.15	0.19	0.16	2.36
94.00	7.80	4.98	7.22	0.00	0.00	0.62	0.04	3.86	2.85	0.20	3.59	4.22	0.00	3.49	0.14	0.34	0.48	1.04	0.27
95.00	7.81	4.25	6.41	1.99	0.51	4.77	1.66	3.66	0.29	2.13	4.51	5.16	0.79	3.51	0.08	0.16	0.00	1.06	1.63
96.00	7.80	2.23	4.20	0.33	0.62	4.06	0.67	3.86	1.74	3.29	3.52	4.23	0.00	1.65	0.01	0.60	0.00	1.13	1.55
97.00	7.80	3.97	5.39	4.26	0.65	3.45	2.31	3.39	3.60	2.99	0.54	2.33	0.00	0.55	0.68	0.00	0.59	1.08	0.74
98.00	7.81	0.22	6.29	4.31	0.00	3.77	0.46	3.10	0.47	2.44	3.91	4.53	0.93	4.17	0.00	0.24	0.00	1.60	0.19
99.00	7.80	4.55	6.99	0.00	0.00	3.59	0.39	5.28	2.19	0.87	4.80	2.26	0.00	3.42	0.00	0.00	0.00	2.40	0.85
100.00	7.81	1.95	6.71	3.62	0.00	6.56	1.65	1.68	2.94	0.49	5.08	4.63	0.97	2.89	0.00	0.00	0.00	2.38	0.09
101.00	7.80	2.16	0.59	0.24	1.59	2.81	0.00	2.34	2.58	3.71	4.95	5.41	0.92	2.30	0.00	1.37	0.00	0.38	1.45
102.00	7.80	2.72	1.42	5.55	0.01	5.53	0.00	4.44	0.09	3.85	5.41	4.93	0.00	1.26	0.00	0.15	0.00	0.89	2.14
103.00	7.81	3.49	5.36	3.52	0.00	3.20	0.06	4.76	1.60	5.00	3.90	4.69	0.39	1.90	1.13	1.70	0.53	2.19	1.11
104.00	7.80	2.04	4.15	1.71	0.00	5.18	0.73	4.03	0.34	1.31	1.59	1.42	0.00	2.93	0.19	0.54	0.00	0.92	1.15
105.00	7.80	0.49	6.62	0.99	0.00	3.42	1.33	4.35	0.00	0.49	4.97	4.13	0.95	2.59	1.47	2.45	0.00	1.67	0.15
106.00	7.81	0.49	3.72	0.18	0.00	1.53	1.50	5.64	5.12	5.16	4.93	4.91	0.25	4.64	0.00	0.49	0.00	0.79	0.92
107.00	7.80	4.33	4.89	1.99	0.00	2.70	2.43	3.13	3.45	3.31	2.18	4.69	0.09	2.66	0.88	0.65	0.79	1.61	1.07
108.00	7.80	2.59	7.20	0.49	0.00	3.04	3.39	5.16	3.24	5.62	3.46	3.10	0.20	1.66	0.22	0.00	0.09	1.26	0.71
109.00	7.81	0.47	5.91	0.29	0.00	2.83	2.63	1.01	2.06	5.06	4.09	3.49	0.07	1.01	1.95	0.75	2.18	2.61	1.70
110.00	7.80	2.81	5.69	1.11	0.00	5.53	1.80	3.51	0.80	1.24	1.08	5.41	0.21	2.47	1.18	0.08	0.95	0.91	1.68
111.00	7.81	5.90	3.11	0.49	0.02	1.73	0.52	1.84	4.04	3.86	3.18	4.58	0.01	2.94	1.19	2.34	1.02	1.94	0.75
