Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
69.00	7.80	7.50	6.90	5.11	5.29	6.09	4.78	4.72	1.74	3.49	3.11	0.55	0.00	4.42	0.00	2.26	0.00	1.42	1.26	0.00	1.80	0.00
70.00	7.81	7.50	6.90	4.31	4.16	5.10	2.86	4.02	1.14	3.01	2.07	0.00	0.20	4.51	0.00	0.00	0.00	1.71	1.87	1.18	1.80	0.00
71.00	7.80	7.50	6.90	3.80	3.89	1.58	4.17	1.50	4.80	3.09	3.30	0.07	0.00	3.13	4.39	0.05	1.00	0.00	3.30	1.22	1.80	0.49
72.00	7.80	7.50	6.90	6.61	5.45	6.04	5.09	4.36	1.28	1.18	0.99	4.53	0.00	4.50	4.50	0.00	0.00	0.12	0.11	0.74	1.80	0.00
73.00	7.81	7.49	6.90	6.58	5.41	5.10	5.11	4.59	0.00	1.50	0.00	0.55	2.72	4.35	4.51	0.00	0.00	0.08	0.00	0.00	1.80	0.00
74.00	7.80	7.50	6.90	4.40	5.39	2.86	5.10	4.79	0.00	0.24	0.00	1.41	1.14	4.50	0.07	0.00	0.00	0.22	0.87	0.00	1.80	0.00
75.00	7.80	7.50	6.90	5.28	5.41	5.10	5.09	4.79	0.49	4.51	0.00	0.00	5.15	4.49	0.00	0.61	0.00	0.04	2.27	0.00	1.79	0.00
76.00	7.81	7.50	6.90	1.21	3.07	5.11	2.66	4.82	0.00	0.33	2.34	0.00	4.51	4.51	0.00	0.00	0.00	0.55	0.00	0.42	0.80	0.00
77.00	7.80	7.50	6.90	4.92	5.39	5.06	0.00	4.68	3.72	1.46	0.16	2.34	3.32	4.50	0.49	1.88	0.00	0.07	1.55	0.82	1.80	0.00
78.00	7.81	7.50	6.90	6.41	4.86	5.12	1.34	4.79	4.79	0.75	2.56	0.58	5.32	4.50	0.00	0.00	0.00	0.66	2.99	0.00	1.61	0.00
79.00	7.80	7.50	6.90	0.16	1.25	5.11	4.18	4.78	4.80	2.44	4.11	0.25	4.47	4.51	4.23	0.00	0.00	1.86	2.94	0.00	1.79	0.00
80.00	7.80	7.50	6.90	3.94	5.37	1.46	5.05	4.75	4.80	4.50	0.49	0.02	4.53	4.50	0.00	0.00	0.00	2.65	3.05	0.00	1.81	0.00
81.00	7.81	7.50	6.90	6.54	5.38	2.46	5.11	4.80	4.80	4.80	0.00	2.03	2.34	4.50	0.00	0.49	0.00	2.99	3.00	0.00	1.80	0.00
82.00	7.80	7.49	6.89	6.18	4.26	5.10	3.51	3.06	4.80	1.60	0.00	2.00	3.32	4.49	0.00	0.00	0.00	1.44	2.99	0.00	0.79	0.00
83.00	7.80	7.50	6.90	2.04	5.32	5.10	0.44	0.18	4.78	2.56	2.66	0.02	0.49	4.51	1.61	2.54	0.00	0.21	2.99	1.00	0.99	0.00
84.00	7.81	7.50	6.90	2.33	5.39	5.10	0.08	5.68	4.82	3.18	0.00	0.98	0.00	4.50	0.00	4.20	0.00	0.52	3.01	0.00	0.07	0.00
